"MEASURE","Selected Medians and Averages","STATE","State","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"MAGE","Median age of persons","0","Australia","AUS","Australia","0","Australia","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","STE","States and Territories","1","New South Wales","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","101","Capital Region","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","102","Central Coast","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","103","Central West","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","104","Coffs Harbour - Grafton","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","105","Far West and Orana","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","106","Hunter Valley exc Newcastle","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","107","Illawarra","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","108","Mid North Coast","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","109","Murray","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","110","New England and North West","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","111","Newcastle and Lake Macquarie","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","112","Richmond - Tweed","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","113","Riverina","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","114","Southern Highlands and Shoalhaven","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","115","Sydney - Baulkham Hills and Hawkesbury","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","116","Sydney - Blacktown","A","Annual","2011","2011",32,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","117","Sydney - City and Inner South","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","118","Sydney - Eastern Suburbs","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","119","Sydney - Inner South West","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","120","Sydney - Inner West","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","121","Sydney - North Sydney and Hornsby","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","122","Sydney - Northern Beaches","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","123","Sydney - Outer South West","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","124","Sydney - Outer West and Blue Mountains","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","125","Sydney - Parramatta","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","126","Sydney - Ryde","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","127","Sydney - South West","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","128","Sydney - Sutherland","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","197","Migratory - Offshore - Shipping (NSW)","A","Annual","2011","2011",63,,
"MAGE","Median age of persons","1","New South Wales","SA4","Statistical Area Level 4","199","Special Purpose Codes SA4 (NSW)","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10101","Goulburn - Yass","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10102","Queanbeyan","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10103","Snowy Mountains","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10104","South Coast","A","Annual","2011","2011",49,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10202","Wyong","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10302","Lachlan Valley","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10303","Lithgow - Mudgee","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10304","Orange","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10401","Clarence Valley","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10501","Bourke - Cobar - Coonamble","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10502","Broken Hill and Far West","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10503","Dubbo","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10601","Lower Hunter","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10603","Port Stephens","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10604","Upper Hunter","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10702","Illawarra Catchment Reserve","A","Annual","2011","2011",16,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10703","Kiama - Shellharbour","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10704","Wollongong","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10801","Great Lakes","A","Annual","2011","2011",51,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10802","Kempsey - Nambucca","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10803","Lord Howe Island","A","Annual","2011","2011",48,,
