"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2001","2001",19274701,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2002","2002",19495210,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2003","2003",19720737,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2004","2004",19932722,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2005","2005",20176844,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2006","2006",20450966,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2007","2007",20827622,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2008","2008",21249199,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2009","2009",21691653,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2010","2010",22031750,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2011","2011",22340024,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2012","2012",22733465,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2013","2013",23128129,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2014","2014",23475686,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2015","2015",23815995,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2016","2016",24190907,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2017","2017",24601860,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2018","2018",24982688,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","0","Australia","A","Annual","2019","2019",25365571,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2001","2001",6530349,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2002","2002",6580807,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2003","2003",6620715,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2004","2004",6650735,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2005","2005",6693206,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2006","2006",6742690,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2007","2007",6834156,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2008","2008",6943461,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2009","2009",7053755,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2010","2010",7144292,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2011","2011",7218529,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2012","2012",7304244,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2013","2013",7404032,,
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2014","2014",7508353,,
