,Unnamed: 0,id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region
266,686,20208,2000,BARANGAROO,NSW,151.2015802,-33.86051951,Sydney Metro,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
267,687,4478,2000,DARLING HARBOUR,NSW,151.256649,-33.859953000000004,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
268,688,4479,2000,DAWES POINT,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
269,689,4480,2000,HAYMARKET,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
270,690,4481,2000,MILLERS POINT,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
271,691,4482,2000,PARLIAMENT HOUSE,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
272,692,4483,2000,SYDNEY,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
273,693,4484,2000,SYDNEY SOUTH,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
274,694,4485,2000,THE ROCKS,NSW,151.256649,-33.859953000000004,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
275,695,4486,2001,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE SYDNEY,Post Office Boxes,Updated 25-Mar-2020 SA3,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
276,696,5,2002,WORLD SQUARE,NSW,0.0,0.0,WORLD SQUARE,Post Office Boxes,,,,,,R1
277,697,4487,2004,ALEXANDRIA MC,NSW,0.0,0.0,,,,,,,,R1
278,698,4488,2004,EASTERN SUBURBS MC,NSW,0.0,0.0,,,,,,,,R1
279,699,4489,2006,THE UNIVERSITY OF SYDNEY,NSW,151.186507,-33.889219,SYDNEY UNIVERSITY LPO,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
280,700,4490,2007,BROADWAY,NSW,151.19665,-33.883189,BROADWAY POST SHOP,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
281,701,4491,2007,ULTIMO,NSW,151.19665,-33.883189,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
282,702,4492,2008,CHIPPENDALE,NSW,151.193858,-33.891146,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
283,703,4493,2008,DARLINGTON,NSW,151.193858,-33.891146,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
284,704,4494,2008,GOLDEN GROVE,NSW,151.193858,-33.891146,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
285,705,4495,2009,DARLING ISLAND,NSW,151.19305500000004,-33.871222,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
286,706,4496,2009,PYRMONT,NSW,151.19305500000004,-33.871222,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
287,707,4497,2010,DARLINGHURST,NSW,151.212262,-33.884119,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
288,708,4498,2010,SURRY HILLS,NSW,151.212262,-33.884119,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
289,709,4499,2010,TAYLOR SQUARE,NSW,151.212262,-33.884119,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
290,710,4500,2011,ELIZABETH BAY,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
291,711,4501,2011,HMAS KUTTABUL,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
292,712,4502,2011,KINGS CROSS,NSW,151.221626,-33.873599,Sydney Metro,,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
293,713,4503,2011,POTTS POINT,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
294,714,4504,2011,RUSHCUTTERS BAY,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
295,715,4505,2011,WOOLLOOMOOLOO,NSW,151.221626,-33.873599,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
296,716,4506,2012,STRAWBERRY HILLS,NSW,150.931838,-33.726098,STRAWBERRY HILLS BC,Post Office Boxes,Updated 25-Jan-2020,,,,,R1
297,717,4507,2013,STRAWBERRY HILLS,NSW,150.931838,-33.726098,STRAWBERRY HILLS BC,Post Office Boxes,Updated 25-Jan-2020,,,,,R1
298,718,4508,2015,ALEXANDRIA,NSW,151.194825,-33.910105,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
299,719,4509,2015,BEACONSFIELD,NSW,151.194825,-33.910105,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11703.0,Sydney Inner City,117.0,Sydney - City and Inner South,R1
