Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
ABBOTSBURY,"$960,000",3.23%,7.74%,4.87%,$575,25,3.11%,N/A
ABBOTSFORD,"$2,127,500",-2.32%,-3.34%,6.41%,$885,18,2.16%,N/A
ABERCROMBIE,"$527,500",12.71%,6.24%,4.34%,$403,16,3.97%,66.9230769230769
ABERDARE,"$330,000",-4.62%,-14.51%,4.06%,$300,37,4.73%,92.9047619047619
ABERDEEN,"$329,500",8.03%,19.82%,3.36%,$370,34,5.84%,138.294117647059
ABERDEEN,,,,,,,,
ABERFOYLE,,,,,,,,
ABERGLASSLYN,"$500,000",2.25%,6.38%,2.17%,$430,138,4.47%,72.0934579439252
ABERMAIN,"$382,000",4.66%,17.90%,6.72%,$350,50,4.76%,88.625
ABERNETHY,"$403,500",N/A,N/A,N/A,N/A,11,N/A,N/A
ACACIA GARDENS,"$845,000",2.05%,6.02%,6.11%,$523,49,3.22%,30.2777777777778
ADAMINABY,"$267,500",7.54%,N/A,3.09%,N/A,13,N/A,N/A
ADAMSTOWN,"$682,000",1.04%,-2.57%,6.90%,$450,94,3.43%,68.92
ADAMSTOWN HEIGHTS,"$750,000",1.63%,3.45%,5.62%,$485,84,3.36%,70.811320754717
ADELONG,"$200,000",0.00%,0.00%,0.38%,N/A,22,N/A,N/A
ADJUNGBILLY,,,,,,,,
AGNES BANKS,"$810,000",0.00%,N/A,14.89%,$470,11,3.02%,N/A
AIRDS,"$475,000",5.32%,21.79%,5.31%,$350,53,3.83%,63.5
AKOLELE,,,,,,,,
ALBERT,,,,,,,,
ALBION PARK,"$600,000",-0.41%,-3.23%,4.98%,$490,229,4.25%,67.0843373493976
ALBION PARK RAIL,"$547,500",1.62%,-2.23%,5.78%,$440,82,4.18%,81.9655172413793
ALBURY,"$555,000",-3.90%,2.59%,5.20%,$350,97,3.28%,110.235294117647
ALECTOWN,,,,,,,,
ALEXANDRIA,"$1,805,000",9.39%,23.63%,9.90%,$800,63,2.30%,38.6
ALFORDS POINT,"$1,278,000",5.84%,11.13%,6.27%,$750,27,3.05%,64.4
ALFREDTOWN,,,,,,,,
ALISON,,,,,,,,
ALISON,,,,,,,,
