Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Median Household Weekly Income,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.),Weekly median advertised rent
Abbotsbury,9894,9889,19783,822,46.7,2.0,0.7,11.1,8.6,17.2,7.2,8074,558,8632,6.5,55.7,40.3,4.0,15498,575
Abbotsford,10527,11360,21887,1273,67.2,8.3,2.6,22.2,10.1,13.9,10.1,10386,442,10828,4.1,64.0,29.6,6.4,16929,885
Abermain,9267,9356,18623,685,49.7,0.6,0.5,4.1,5.5,28.1,10.8,6877,722,7599,9.5,54.2,39.0,6.8,14033,350
Acacia Gardens,2029,1935,3964,1215,64.9,7.9,1.8,22.4,10.3,17.3,5.3,2070,108,2178,5.0,75.2,22.4,2.6,2897,523
Adamstown,8017,8008,16025,946,64.2,5.0,2.3,18.5,10.5,22.0,6.0,7608,473,8081,5.9,64.7,32.5,2.8,12492,450
Albion Park,7459,7788,15247,897,58.0,1.7,1.2,7.9,9.1,30.0,8.1,6881,408,7289,5.6,65.2,31.0,3.8,11174,490
Albion Park Rail,3406,3524,6930,722,55.7,0.8,0.7,5.2,7.4,29.0,12.7,2906,228,3134,7.3,55.6,36.4,8.0,5634,440
Albury,6015,6370,12386,828,61.2,3.0,2.4,13.0,9.0,22.9,10.9,5446,358,5804,6.4,60.4,32.1,7.6,9506,350
Alexandria,9537,8982,18519,1745,79.8,14.1,3.6,33.2,9.3,9.4,10.2,11056,400,11456,3.5,79.1,12.4,8.5,14483,800
Alfords Point,5281,5412,10693,1274,63.2,5.1,1.9,18.8,11.1,21.0,5.2,5791,219,6010,3.6,69.5,28.4,2.1,8650,750
Allambie Heights,8949,9199,18148,1244,69.8,7.3,2.9,23.2,11.5,16.3,8.6,8481,323,8804,3.7,67.8,27.3,5.0,12991,940
Allawah,8666,8484,17150,934,61.6,7.9,1.5,20.8,10.6,13.2,7.7,7924,527,8451,6.2,63.7,31.6,4.7,13261,605
Anna Bay,2914,2992,5906,702,61.4,1.7,1.5,8.9,8.9,27.5,13.0,2375,164,2539,6.5,53.0,38.1,8.9,4787,450
Annandale,13752,14632,28384,1515,74.5,12.9,3.6,29.1,9.1,10.1,9.8,14468,621,15089,4.1,70.4,22.2,7.4,21437,810
Appin,5559,5352,10911,1122,62.8,2.7,1.6,11.1,10.7,28.2,8.3,4961,143,5104,2.8,69.1,26.4,4.5,7391,430
Armidale,11838,12666,24504,772,61.5,8.4,2.7,14.7,7.2,17.2,11.3,9636,876,10512,8.3,54.7,37.5,7.8,19225,340
Arncliffe,13287,12904,26191,1006,64.1,10.0,1.6,23.3,9.2,10.4,9.6,10990,781,11771,6.6,63.7,29.5,6.7,18470,625
Arrawarra,6639,6611,13250,662,57.3,1.6,1.6,10.8,8.7,22.5,12.1,4863,404,5267,7.7,51.2,40.8,8.0,10280,0
Artarmon,15026,16230,31256,1184,70.6,14.2,2.4,30.4,8.7,6.4,8.5,13611,895,14506,6.2,61.3,32.9,5.8,23676,983
Ashbury,5737,5926,11663,1068,63.5,8.7,2.7,21.1,9.6,13.3,8.1,5322,269,5591,4.8,64.3,30.0,5.7,8697,680
Ashcroft,8999,9295,18294,491,40.5,0.9,0.3,4.2,5.7,14.4,15.1,4522,767,5289,14.5,40.2,49.1,10.6,13142,380
Ashfield,13198,13185,26383,996,67.6,11.4,2.3,25.5,9.1,9.2,10.2,12553,936,13489,6.9,62.8,30.4,6.8,21464,600
Asquith,9743,9904,19647,1163,68.6,7.6,2.8,21.5,11.8,19.1,5.9,9611,416,10027,4.1,69.7,27.5,2.8,14390,580
