Label,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.)
Braidwood,66.9,5.3,2.4,12.8,8.5,21.3,16.5,"1,646",73,"1,719",4.2,53.4,35.2,11.7,"3,222"
Karabar,53.5,3,1.9,8.8,8.3,22.3,9.2,"4,184",208,"4,392",4.7,66.3,27.8,5.8,"6,623"
Queanbeyan,60.7,5.1,2.3,14,8.8,19.3,11.1,"5,612",306,"5,918",5.2,64.5,27.9,7.6,"9,169"
Queanbeyan - East,62.7,7.1,2.2,16.2,9.6,19.2,8.4,"2,647",140,"2,787",5,70,23.9,6.2,"3,981"
Queanbeyan Region,69.1,6.9,3.5,15.6,10.9,20,12.3,"8,814",265,"9,079",2.9,67.9,22.7,9.4,"13,377"
Queanbeyan West - Jerrabomberra,62.7,7.6,3.4,15.2,11.2,19,6.3,"7,125",254,"7,379",3.4,75.9,19.9,4.2,"9,725"
Bombala,50.8,1.1,0.8,8.1,6.6,22.3,12.1,"1,067",50,"1,117",4.5,56.1,36.4,7.4,"1,991"
Cooma,60.3,2.1,1.4,9,7.4,23.2,17.2,"2,901",143,"3,044",4.7,53.6,37.5,8.8,"5,678"
Cooma Region,63.1,2.7,1.2,11.6,8.6,24.2,14.5,"1,570",60,"1,630",3.7,59.8,31.4,9,"2,724"
Jindabyne - Berridale,68.4,3.1,1.7,12.7,9.8,28.2,12.6,"3,899",73,"3,972",1.8,69.6,21.2,9.2,"5,709"
Batemans Bay,56,1.5,1.6,6.8,7.2,24.4,14.5,"2,540",225,"2,765",8.1,42.9,48.1,9.1,"6,452"
Batemans Bay - South,59.3,2.4,1.9,9.3,8.4,23.5,13.8,"2,862",266,"3,128",8.5,43.7,47.2,9.1,"7,166"
Bega - Tathra,58.4,2.4,2,11.1,7.7,22,13.1,"3,480",181,"3,661",4.9,53.4,38.9,7.8,"6,852"
Bega-Eden Hinterland,63.3,2.6,2.4,11.2,8.8,26,12.4,"3,709",235,"3,944",6,53.8,38.8,7.6,"7,335"
Broulee - Tomakin,64.4,2.7,3.3,12.6,9.1,23.6,13.2,"1,235",56,"1,291",4.3,46.3,45.8,8,"2,789"
Deua - Wadbilliga,64,-,-,24,12,12,28,11,-,11,-,44,36,28,25
Eden,53.8,1.4,1,6.5,6.5,21.6,16.6,"1,152",86,"1,238",6.9,45.6,45.3,9.1,"2,715"
Eurobodalla Hinterland,62.3,2.4,1.7,9.1,8.9,28.5,11.9,"1,398",98,"1,496",6.6,53,39.5,7.2,"2,824"
Merimbula - Tura Beach,60.6,2.2,2.1,10.8,8.7,23.8,12.9,"4,098",197,"4,295",4.6,46.9,45.6,7.4,"9,156"
Moruya - Tuross Head,60.7,2.6,2,9.8,9,25.1,12.3,"2,875",207,"3,082",6.7,44.7,48,7.3,"6,891"
Narooma - Bermagui,61.3,2.4,2.1,9.9,8.4,23.9,14.6,"2,841",177,"3,018",5.9,38.5,52.8,8.7,"7,834"
Goulburn,57.6,1.9,1.3,7.6,8.4,23.3,15,"9,708",708,"10,416",6.8,55.6,37,7.4,"18,737"
Goulburn Region,59.7,2.3,1.5,8.7,8.7,25,13.5,"5,701",253,"5,954",4.2,57.1,34.4,8.4,"10,430"
Yass,59.7,2.7,1.9,11.8,8.1,22.1,13,"2,961",110,"3,071",3.6,59.2,31.6,9.3,"5,186"
Yass Region,66.1,6.5,3.5,16.4,10.1,19.7,9.9,"6,019",175,"6,194",2.8,68.1,25.5,6.3,"9,092"
Young,51.7,1,1,7.5,6.6,23.4,12.2,"4,189",275,"4,464",6.2,53.4,39.2,7.4,"8,352"
Young Region,52.7,1.3,0.9,8,7.6,21.5,13.4,"3,109",163,"3,272",5,54,38,8,"6,059"
Avoca Beach - Copacabana,68.8,4.8,2.7,18.8,12.5,22.2,7.7,"3,630",213,"3,843",5.5,67,28.7,4.5,"5,738"
Box Head - MacMasters Beach,63.7,3.7,2.3,14.4,11,23.6,8.8,"4,743",225,"4,968",4.5,56.2,39.3,4.4,"8,834"
Calga - Kulnura,62,2.8,1.4,11.2,9.7,23.1,13.9,"2,249",85,"2,334",3.6,59,31.1,9.8,"3,955"
Erina - Green Point,60.1,3.6,1.7,13.2,10.1,19.8,11.7,"5,625",311,"5,936",5.2,50.9,43.1,6.1,"11,672"
Gosford - Springfield,62.6,3.7,1.5,14.7,10,21.2,11.5,"8,506",686,"9,192",7.5,58.6,34.1,7.3,"15,692"
Kariong,60.6,2.2,1.2,10.3,11,25.7,10.1,"3,156",215,"3,371",6.4,67.8,27.5,4.7,"4,970"
