Label,Median Household Weekly Income
Braidwood,719
Karabar,"1,008"
Queanbeyan,"1,020"
Queanbeyan - East,"1,045"
Queanbeyan Region,"1,396"
Queanbeyan West - Jerrabomberra,"1,428"
Bombala,704
Cooma,691
Cooma Region,792
Jindabyne - Berridale,906
Batemans Bay,611
Batemans Bay - South,668
Bega - Tathra,703
Bega-Eden Hinterland,624
Broulee - Tomakin,713
Deua - Wadbilliga,450
Eden,596
Eurobodalla Hinterland,647
Merimbula - Tura Beach,685
Moruya - Tuross Head,619
Narooma - Bermagui,594
Goulburn,755
Goulburn Region,754
Yass,905
Yass Region,"1,191"
Young,637
Young Region,651
Avoca Beach - Copacabana,"1,043"
Box Head - MacMasters Beach,854
Calga - Kulnura,893
Erina - Green Point,808
Gosford - Springfield,794
Kariong,961
Kincumber - Picketts Valley,715
Narara,894
Niagara Park - Lisarow,904
Point Clare - Koolewong,848
Saratoga - Davistown,868
Terrigal - North Avoca,"1,020"
Umina - Booker Bay - Patonga,705
Wamberal - Forresters Beach,"1,020"
Woy Woy - Blackwall,686
Wyoming,751
Bateau Bay - Killarney Vale,755
Blue Haven - San Remo,697
Budgewoi - Buff Point - Halekulani,649
Chittaway Bay - Tumbi Umbi,851
Gorokan - Kanwal - Charmhaven,663
Jilliby - Yarramalong,"1,016"
Lake Munmorah - Mannering Park,634
Ourimbah - Fountaindale,947
Summerland Point - Gwandalan,718
The Entrance,678
Toukley - Norah Head,644
Tuggerah - Kangy Angy,873
Warnervale - Wadalba,875
Wyong,647
Bathurst,804
Bathurst - East,851
Bathurst Region,811
Oberon,761
Condobolin,662
Cowra,623
Cowra Region,637
Forbes,690
Grenfell,600
Parkes (NSW),721
Parkes Region,618
West Wyalong,712
Lithgow,624
Lithgow Region,714
Mudgee,827
Mudgee Region - East,529
Mudgee Region - West,669
Blayney,767
Orange,722
Orange - North,936
Orange Region,882
Grafton,607
Grafton Region,591
Maclean - Yamba - Iluka,587
Bellingen,648
Coffs Harbour - North,673
Coffs Harbour - South,680
Coramba - Nana Glen - Bucca,752
Dorrigo,555
Korora - Emerald Beach,881
Sawtell - Boambee,695
Urunga,659
Woolgoolga - Arrawarra,662
Bourke - Brewarrina,735
Cobar,991
Coonamble,646
Nyngan - Warren,749
Walgett - Lightning Ridge,523
Broken Hill,648
Far West,611
Coonabarabran,567
Dubbo - East,832
Dubbo - South,837
Dubbo - West,797
Dubbo Region,869
Gilgandra,637
Narromine,693
Wellington,595
Branxton - Greta - Pokolbin,966
Cessnock,653
Cessnock Region,816
Dungog,753
Kurri Kurri - Abermain,685
Singleton,975
Singleton Region,943
Maitland,850
Maitland - East,803
Maitland - North,"1,046"
Maitland - West,810
Thornton - Millers Forest,960
Anna Bay,702
Lemon Tree Passage - Tanilba Bay,628
Nelson Bay Peninsula,726
Raymond Terrace,684
Seaham - Woodville,986
Tea Gardens - Hawks Nest,630
Williamtown - Medowie - Karuah,848
Muswellbrook,844
Muswellbrook Region,869
Scone,852
Scone Region,756
Dapto - Avondale,730
Horsley - Kembla Grange,968
Port Kembla Industrial,-
Unanderra - Mount Kembla,876
Berkeley - Lake Heights - Cringila,625
Port Kembla - Warrawong,551
Windang - Primbee,640
Illawarra Catchment Reserve,-
Albion Park - Macquarie Pass,897
Albion Park Rail,722
Kiama,857
Kiama Downs - Minnamurra,984
Kiama Hinterland - Gerringong,940
Shellharbour - Flinders,958
Shellharbour - Oak Flats,771
Warilla,620
Balgownie - Fairy Meadow,790
Corrimal - Tarrawanna - Bellambi,748
Figtree - Keiraville,873
Helensburgh,"1,139"
Thirroul - Austinmer - Coalcliff,"1,156"
Woonona - Bulli - Russell Vale,948
Wollongong - East,889
Wollongong - West,761
Bulahdelah - Stroud,610
Forster,599
Forster-Tuncurry Region,591
Tuncurry,536
Kempsey,569
Kempsey Region,589
Macksville - Scotts Head,603
Nambucca Heads,514
Nambucca Heads Region,591
South West Rocks,603
Lord Howe Island,993
Laurieton - Bonny Hills,609
Port Macquarie - East,745
Port Macquarie - West,644
Port Macquarie Region,700
Wauchope,663
Gloucester,599
Old Bar - Manning Point - Red Head,668
Taree,566
Taree Region,573
Wingham,580
Albury - East,910
Albury - North,731
Albury - South,844
Albury Region,754
Lavington,639
Hay,697
Wentworth - Buronga,691
Wentworth-Balranald Region,709
Corowa,680
Corowa Region,677
Deniliquin,710
Deniliquin Region,654
Moama,753
Tocumwal - Finley - Jerilderie,662
Armidale,772
Armidale Region - North,667
Armidale Region - South,708
Walcha,691
Glen Innes,569
Inverell,644
Inverell Region - East,534
Inverell Region - West,576
Tenterfield,519
Moree,779
Moree Region,824
Narrabri,796
Narrabri Region,749
Gunnedah,784
Gunnedah Region,742
Quirindi,666
Tamworth - East,763
Tamworth - North,829
Tamworth - West,617
Tamworth Region,724
Belmont - Bennetts Green,788
Belmont South - Blacksmiths,671
Charlestown - Dudley,875
Glendale - Cardiff - Hillsborough,867
Mount Hutton - Windale,617
Redhead,810
Swansea - Caves Beach,722
Valentine - Eleebana,"1,022"
Warners Bay - Boolaroo,849
Bolton Point - Teralba,710
Bonnells Bay - Silverwater,754
Edgeworth - Cameron Park,886
Morisset - Cooranbong,705
Toronto - Awaba,747
Wangi Wangi - Rathmines,807
West Wallsend - Barnsley - Killingworth,807
Adamstown - Kotara,946
Beresfield - Hexham,654
Hamilton - Broadmeadow,878
Lambton - New Lambton,937
Maryland - Fletcher - Minmi,957
Mayfield - Warabrook,796
Merewether - The Junction,"1,162"
Newcastle - Cooks Hill,"1,197"
Newcastle Port - Kooragang,-
Shortland - Jesmond,614
Stockton - Fullerton Cove,769
Wallsend - Elermore Vale,753
Waratah - North Lambton,773
Wickham - Carrington - Tighes Hill,954
Ballina,670
Ballina Region,769
Bangalow,838
Brunswick Heads - Ocean Shores,685
Byron Bay,845
Evans Head,627
Lennox Head - Skennars Head,908
Mullumbimby,641
Casino,594
Casino Region,603
Goonellabah,708
Kyogle,561
Lismore,635
Lismore Region,716
Kingscliff - Fingal Head,783
Murwillumbah,619
Murwillumbah Region,671
Pottsville,726
Tweed Heads,648
Banora Point,698
Terranora - North Tumblegum,911
Tweed Heads South,571
Griffith (NSW),791
Griffith Region,803
Leeton,764
Narrandera,668
Tumbarumba,729
Tumut,699
Tumut Region,751
Cootamundra,627
Gundagai,700
Junee,699
Temora,641
Wagga Wagga - East,885
Wagga Wagga - North,965
Wagga Wagga - South,841
Wagga Wagga - West,780
Wagga Wagga Region,808
Berry - Kangaroo Valley,747
Callala Bay - Currarong,608
Culburra Beach,625
Ettrema - Sassafras - Budawang,519
Huskisson - Vincentia,788
North Nowra - Bomaderry,721
Nowra,641
St Georges Basin - Erowal Bay,582
Sussex Inlet - Berrara,537
Tomerong - Wandandian - Woollamia,801
Ulladulla,602
Ulladulla Region,621
Bowral,890
Hill Top - Colo Vale,851
Mittagong,810
Moss Vale - Berrima,780
Robertson - Fitzroy Falls,918
Southern Highlands,814
Baulkham Hills (East),"1,119"
Baulkham Hills (West) - Bella Vista,"1,240"
Glenhaven,"1,204"
West Pennant Hills,"1,416"
Castle Hill - Central,"1,149"
Castle Hill - East,"1,003"
Castle Hill - North,"1,224"
Castle Hill - South,"1,181"
Castle Hill - West,"1,384"
Cherrybrook,"1,243"
Kellyville,"1,262"
Dural - Kenthurst - Wisemans Ferry,"1,143"
Galston - Laughtondale,"1,098"
Bilpin - Colo - St Albans,843
