Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.)
Braidwood,"2,091","2,058","4,149"
Karabar,"4,155","4,277","8,432"
Queanbeyan,"5,715","5,743","11,458"
Queanbeyan - East,"2,683","2,402","5,085"
Queanbeyan Region,"9,751","9,422","19,173"
Queanbeyan West - Jerrabomberra,"6,510","6,640","13,150"
Bombala,"1,234","1,181","2,415"
Cooma,"3,474","3,398","6,872"
Cooma Region,"1,761","1,610","3,371"
Jindabyne - Berridale,"3,906","3,267","7,173"
Batemans Bay,"3,896","4,076","7,972"
Batemans Bay - South,"4,164","4,349","8,513"
Bega - Tathra,"4,235","4,438","8,673"
Bega-Eden Hinterland,"4,526","4,396","8,922"
Broulee - Tomakin,"1,722","1,748","3,470"
Deua - Wadbilliga,13,12,25
Eden,"1,606","1,658","3,264"
Eurobodalla Hinterland,"1,702","1,697","3,399"
Merimbula - Tura Beach,"5,390","5,786","11,176"
Moruya - Tuross Head,"4,072","4,110","8,182"
Narooma - Bermagui,"4,485","4,713","9,198"
Goulburn,"11,974","11,861","23,835"
Goulburn Region,"6,821","6,302","13,123"
Yass,"3,217","3,462","6,679"
Yass Region,"6,070","6,061","12,131"
Young,"5,189","5,631","10,820"
Young Region,"3,657","3,652","7,309"
Avoca Beach - Copacabana,"3,929","3,804","7,733"
Box Head - MacMasters Beach,"5,465","5,647","11,112"
Calga - Kulnura,"2,564","2,374","4,938"
Erina - Green Point,"6,701","7,683","14,384"
Gosford - Springfield,"9,667","9,986","19,653"
Kariong,"3,383","3,200","6,583"
Kincumber - Picketts Valley,"3,536","3,995","7,531"
Narara,"3,431","3,473","6,904"
Niagara Park - Lisarow,"4,068","4,084","8,152"
Point Clare - Koolewong,"3,069","3,239","6,308"
Saratoga - Davistown,"3,546","3,761","7,307"
Terrigal - North Avoca,"7,063","7,218","14,281"
Umina - Booker Bay - Patonga,"11,918","12,754","24,672"
Wamberal - Forresters Beach,"5,133","5,190","10,323"
Woy Woy - Blackwall,"7,009","7,460","14,469"
Wyoming,"5,683","6,146","11,829"
Bateau Bay - Killarney Vale,"10,780","11,841","22,621"
Blue Haven - San Remo,"5,525","5,890","11,415"
Budgewoi - Buff Point - Halekulani,"4,836","4,899","9,735"
Chittaway Bay - Tumbi Umbi,"7,694","8,068","15,762"
Gorokan - Kanwal - Charmhaven,"11,086","11,716","22,802"
Jilliby - Yarramalong,"1,807","1,723","3,530"
Lake Munmorah - Mannering Park,"5,439","5,733","11,172"
