Label,Weekly median advertised rent
ABBOTSBURY,$575 
ABBOTSFORD,$885 
ABERCROMBIE,$403 
ABERDARE,$300 
ABERDEEN,$370 
ABERDEEN,
ABERFOYLE,
ABERGLASSLYN,$430 
ABERMAIN,$350 
ABERNETHY,N/A
ACACIA GARDENS,$523 
ADAMINABY,N/A
ADAMSTOWN,$450 
ADAMSTOWN HEIGHTS,$485 
ADELONG,N/A
ADJUNGBILLY,
AGNES BANKS,$470 
AIRDS,$350 
AKOLELE,
ALBERT,
ALBION PARK,$490 
ALBION PARK RAIL,$440 
ALBURY,$350 
ALECTOWN,
ALEXANDRIA,$800 
ALFORDS POINT,$750 
ALFREDTOWN,
ALISON,
ALISON,
ALLAMBIE HEIGHTS,$940 
ALLAWAH,$605 
ALLGOMERA,
ALLWORTH,N/A
ALLYNBROOK,
ALSTONVALE,N/A
ALSTONVILLE,$490 
AMBARVALE,$380 
ANDO,
ANGLEDALE,
ANGLERS REACH,N/A
ANGOURIE,
ANNA BAY,$450 
ANNANDALE,$810 
ANNANGROVE,$580 
APPIN,$430 
APPLE TREE FLAT,
APPLETREE FLAT,
APSLEY,
ARAKOON,$500 
ARALUEN,N/A
ARCADIA,N/A
ARCADIA VALE,$410 
ARDING,
ARDLETHAN,N/A
ARGENTON,$370 
ARGENTS HILL,$320 
ARGOON,
ARGYLE,
ARIAH PARK,$150 
ARMATREE,
ARMIDALE,$340 
ARNCLIFFE,$625 
ARNDELL PARK,
ARRAWARRA,
ARRAWARRA HEADLAND,N/A
ARTARMON,$983 
ARTHURVILLE,
ASHBURY,$680 
ASHBY,N/A
ASHBY HEIGHTS,N/A
ASHCROFT,$380 
ASHFIELD,$600 
ASHFORD,N/A
ASHLEY,N/A
ASHMONT,$250 
ASHTONFIELD,$450 
ASQUITH,$580 
ATTUNGA,N/A
AUBURN,$470 
AUBURN VALE,
AUDLEY,
AUSTINMER,$730 
AUSTRAL,$530 
AUSTRAL EDEN,
AVALON,
AVALON BEACH,$800 
AVOCA,
AVOCA BEACH,$600 
AVONDALE,$450 
AVONSIDE,
AWABA,N/A
AYLMERTON,N/A
BAAN BAA,
BACK CREEK,
BACK CREEK,
BACK CREEK,
BACK CREEK,
BACK CREEK,
BACK CREEK,
BACKMEDE,
BADGERYS CREEK,
BAGNOO,
BAKERS CREEK,
BAKERS CREEK,
BAKERS CREEK,
BAKERS SWAMP,
BALALA,
BALCOLYN,$420 
BALD HILLS,N/A
BALD RIDGE,
BALDRY,
BALGOWLAH,"$1,015 "
BALGOWLAH HEIGHTS,"$1,400 "
BALGOWNIE,$500 
BALLADORAN,
BALLALABA,
BALLDALE,
BALLENGARRA,
BALLIMORE,
BALLINA,$500 
BALLYROE,
BALMAIN,$865 
BALMAIN EAST,"$1,140 "
BALMORAL,N/A
BALMORAL,N/A
BALRANALD,N/A
BAMARANG,
BANDON GROVE,
BANGALEE,N/A
BANGALOW,$675 
BANGOR,$710 
BANKSIA,$600 
BANKSMEADOW,N/A
BANKSTOWN,$500 
BANKSTOWN NORTH,
BANKSTOWN SQUARE,
BANNABY,
BANNISTER,
BANORA POINT,$570 
BAR BEACH,$460 
BAR POINT,N/A
BARADINE,N/A
BARANGAROO,N/A
BARDEN RIDGE,$850 
BARDWELL PARK,$720 
BARDWELL VALLEY,N/A
BARELLAN,N/A
BARGO,$450 
BARHAM,N/A
BARKERS VALE,
BARMEDMAN,N/A
BARNSLEY,N/A
BAROOGA,$313 
BARRABA,N/A
BARRACK HEIGHTS,$450 
BARRACK POINT,N/A
BARRAGANYATTI,
BARRAGGA BAY,
BARRENGARRY,N/A
BARRINGTON,N/A
BARRY,
BARYULGIL,
BASIN VIEW,$370 
BASS HILL,$560 
BATEAU BAY,$455 
BATEHAVEN,$360 
BATEMANS BAY,$375 
BATHURST,$340 
BATLOW,N/A
BAULKHAM HILLS,$560 
BAWLEY POINT,"$1,088 "
BAY VILLAGE,
BAYVIEW,"$1,100 "
BEACON HILL,$875 
BEACONSFIELD,$890 
BEAUMONT,
BEAUMONT HILLS,$620 
BECKOM,
BECTIVE,
BECTRIC,
BEDGEREBONG,
BEECHWOOD,N/A
BEECROFT,$730 
BEELBANGERA,N/A
BEGA,$350 
BELBORA,
BELFIELD,$550 
BELFORD,
BELGRAVIA,
BELIMBLA PARK,N/A
BELL,
BELLA VISTA,$740 
BELLAMBI,$440 
BELLANGRY,
BELLATA,
BELLAWONGARAH,N/A
BELLBIRD,$300 
BELLBROOK,N/A
BELLEVUE HILL,"$1,888 "
BELLIMBOPINNI,
BELLINGEN,$420 
BELLMOUNT FOREST,
BELMONT,$400 
BELMONT NORTH,$420 
BELMONT SOUTH,$385 
BELMORE,$550 
BELMORE RIVER,
BELROSE,$998 
BELROSE WEST,
BEMBOKA,N/A
BEN LOMOND,
BENANDARAH,
BENDALONG,$240 
BENDEMEER,N/A
BENDICK MURRELL,
BENDOLBA,
BENEREMBAH,
BENNETTS GREEN,
BENSVILLE,$540 
BENTLEY,N/A
BERALA,$450 
BERAMBING,
BERESFIELD,$360 
BERGALIA,
BERKELEY,$428 
BERKELEY VALE,$445 
BERKSHIRE PARK,N/A
BERMAGUI,N/A
BEROWRA,$628 
BEROWRA HEIGHTS,$600 
BEROWRA WATERS,N/A
BERRAMBOOL,N/A
BERRARA,N/A
BERRIDALE,$393 
BERRIGAN,$168 
BERRILEE,
BERRIMA,N/A
BERRINGER LAKE,
BERRY,$530 
BERRY PARK,
BETHUNGRA,
BEVERLEY PARK,$660 
BEVERLY HILLS,$598 
BEXHILL,N/A
BEXLEY,$600 
BEXLEY NORTH,$600 
BEXLEY SOUTH,
BIBBENLUKE,
BIDWILL,$330 
BIELSDOWN HILLS,
BIG HILL,
BIG SPRINGS,
BIGGA,N/A
BILAMBIL,N/A
BILAMBIL HEIGHTS,$578 
BILBUL,N/A
BILGOLA,N/A
BILLIMARI,
BILLINUDGEL,N/A
BILLYWILLINGA,
BILPIN,N/A
BIMBI,
BIMBIMBIE,
BINALONG,N/A
BINDA,
BINGARA,$230 
BINGIE,
BINJURA,N/A
BINNA BURRA,
BINNAWAY,N/A
BINYA,
BIRCHGROVE,$900 
BIRMINGHAM GARDENS,$380 
BIRRIWA,
BIRRONG,$490 
BISHOPS BRIDGE,
BITHRAMERE,
BLACK CREEK,
BLACK CREEK,
BLACK HEAD,$380 
BLACK HILL,N/A
BLACK MOUNTAIN,
BLACK RANGE,
BLACK SPRINGS,N/A
BLACKALLS PARK,$360 
BLACKBUTT,$520 
BLACKETT,$310 
BLACKHEATH,$400 
BLACKMANS POINT,
BLACKSMITHS,$430 
BLACKTOWN,$395 
BLACKTOWN WESTPOINT,
BLACKWALL,$375 
BLAIR ATHOL,$490 
