suburb_id,suburb,post,industry,count
id,suburb,0,Coffee shop,0
1,Abbotsbury,2176,Coffee shop,3
2,Abbotsford,2046,Coffee shop,3
3,Abercrombie,2795,Coffee shop,0
4,Aberdare,2325,Coffee shop,0
5,Aberdeen,2336,Coffee shop,1
6,Aberglasslyn,2320,Coffee shop,1
7,Abermain,2326,Coffee shop,0
8,Abernethy,2325,Coffee shop,0
9,Acacia Creek,2476,Coffee shop,0
10,Acacia Gardens,2763,Coffee shop,0
11,Adaminaby,2629,Coffee shop,2
12,Adamstown,2289,Coffee shop,10
13,Adamstown Heights,2289,Coffee shop,0
14,Adelong,2729,Coffee shop,1
15,Agnes Banks,2753,Coffee shop,0
16,Airds,2560,Coffee shop,0
17,Albion Park,2527,Coffee shop,9
18,Albion Park Rail,2527,Coffee shop,4
19,Albury,2640,Coffee shop,44
20,Aldavilla,2440,Coffee shop,0
21,Alectown,2870,Coffee shop,0
22,Alexandria,2015,Coffee shop,40
23,Alfords Point,2234,Coffee shop,0
24,Alison,2420,Coffee shop,0
25,Allambie Heights,2100,Coffee shop,4
26,Allawah,2218,Coffee shop,1
27,Allworth,2425,Coffee shop,0
28,Alpine,2575,Coffee shop,0
29,Alstonville,2477,Coffee shop,6
30,Ambarvale,2560,Coffee shop,2
31,Anglers Reach,2629,Coffee shop,0
32,Angourie,2464,Coffee shop,0
33,Anna Bay,2316,Coffee shop,4
34,Annandale,2038,Coffee shop,15
35,Annangrove,2156,Coffee shop,2
36,Appin,2560,Coffee shop,2
37,Apple Tree Flat,2850,Coffee shop,0
38,Arakoon,2431,Coffee shop,1
39,Arcadia,2159,Coffee shop,1
40,Arcadia Vale,2283,Coffee shop,0
41,Ardlethan,2665,Coffee shop,2
42,Argenton,2284,Coffee shop,1
43,Ariah Park,2665,Coffee shop,1
44,Armatree,2831,Coffee shop,0
45,Armidale,2350,Coffee shop,36
46,Arncliffe,2205,Coffee shop,5
47,Arndell Park,2148,Coffee shop,7
48,Arrawarra,2456,Coffee shop,1
49,Arrawarra Headland,2456,Coffee shop,0
50,Artarmon,2064,Coffee shop,18
51,Ashbury,2193,Coffee shop,2
52,Ashcroft,2168,Coffee shop,0
53,Ashfield,2131,Coffee shop,23
