suburb_id,suburb,post,industry,count
0,Aarons Pass,2850,orchard,0
1,Abbotsbury,2176,orchard,0
2,Abbotsford,2046,orchard,0
3,Abercrombie,2795,orchard,0
4,Abercrombie River,2795,orchard,0
5,Aberdare,2325,orchard,0
6,Aberdeen,2336,orchard,0
7,Aberfoyle,2350,orchard,0
8,Aberglasslyn,2320,orchard,0
9,Abermain,2326,orchard,0
10,Abernethy,2325,orchard,0
11,Abington,2350,orchard,0
12,Acacia Creek,2476,orchard,0
13,Acacia Gardens,2763,orchard,0
14,Adaminaby,2629,orchard,0
15,Adamstown,2289,orchard,0
16,Adamstown Heights,2289,orchard,0
17,Adelong,2729,orchard,0
18,Adjungbilly,2727,orchard,0
19,Afterlee,2474,orchard,0
20,Agnes Banks,2753,orchard,1
21,Airds,2560,orchard,0
22,Akolele,2546,orchard,0
23,Albert,2873,orchard,0
24,Albion Park,2527,orchard,0
25,Albion Park Rail,2527,orchard,0
26,Albury,2640,orchard,1
27,Aldavilla,2440,orchard,0
28,Alectown,2870,orchard,0
29,Alexandria,2015,orchard,2
30,Alfords Point,2234,orchard,0
31,Alfredtown,2650,orchard,0
32,Alice,2470,orchard,0
33,Alison,2420,orchard,0
34,Allambie Heights,2100,orchard,0
35,Allandale,2320,orchard,0
36,Allawah,2218,orchard,0
37,Alleena,2671,orchard,0
38,Allgomera,2441,orchard,0
39,Allworth,2425,orchard,0
40,Allynbrook,2311,orchard,0
41,Alma Park,2659,orchard,0
42,Alpine,2575,orchard,0
43,Alstonvale,2477,orchard,0
44,Alstonville,2477,orchard,0
45,Alumy Creek,2460,orchard,0
46,Amaroo,2866,orchard,0
47,Ambarvale,2560,orchard,0
48,Anabranch North,2648,orchard,0
49,Anabranch South,2648,orchard,0
50,Anambah,2320,orchard,0
51,Ando,2631,orchard,0
52,Anembo,2621,orchard,0
53,Angledale,2550,orchard,0
54,Angledool,2834,orchard,0
55,Anglers Reach,2629,orchard,0
56,Angourie,2464,orchard,0
57,Anna Bay,2316,orchard,0
58,Annandale,2038,orchard,0
59,Annangrove,2156,orchard,0
60,Appin,2560,orchard,0
61,Apple Tree Flat,2850,orchard,1
62,Appleby,2340,orchard,0
63,Appletree Flat,2330,orchard,0
64,Apsley,2820,orchard,0
65,Arable,2630,orchard,0
66,Arakoon,2431,orchard,0
67,Araluen,2622,orchard,0
68,Aratula,2714,orchard,0
69,Arcadia,2159,orchard,0
70,Arcadia Vale,2283,orchard,0
71,Ardglen,2338,orchard,0
72,Arding,2358,orchard,0
73,Ardlethan,2665,orchard,0
74,Argalong,2720,orchard,0
75,Argenton,2284,orchard,0
76,Argents Hill,2449,orchard,0
77,Argoon,2707,orchard,0
78,Argyle,2350,orchard,0
79,Ariah Park,2665,orchard,0
80,Arkell,2795,orchard,0
81,Arkstone,2795,orchard,0
82,Armatree,2831,orchard,0
83,Armidale,2350,orchard,0
84,Armidale Dc,2350,orchard,0
85,Arncliffe,2205,orchard,0
86,Arndell Park,2148,orchard,0
87,Arrawarra,2456,orchard,0
88,Arrawarra Headland,2456,orchard,0
89,Artarmon,2064,orchard,0
90,Arthurville,2820,orchard,0
91,Arumpo,2715,orchard,0
92,Ashbury,2193,orchard,0
93,Ashby,2463,orchard,0
94,Ashby Heights,2463,orchard,0
95,Ashby Island,2463,orchard,0
96,Ashcroft,2168,orchard,0
97,Ashfield,2131,orchard,0
98,Ashford,2361,orchard,0
99,Ashley,2400,orchard,0
100,Ashmont,2650,orchard,0
101,Ashtonfield,2323,orchard,0
102,Asquith,2077,orchard,0
103,Atholwood,2361,orchard,0
104,Attunga,2345,orchard,0
105,Auburn,2144,orchard,0
106,Auburn Vale,2360,orchard,0
107,Austinmer,2515,orchard,0
108,Austral,2179,orchard,0
109,Austral Eden,2440,orchard,0
110,Australian Defence Forces,2890,orchard,0
111,Avalon Beach,2107,orchard,0
112,Avisford,2850,orchard,0
113,Avoca,2577,orchard,0
114,Avoca Beach,2251,orchard,0
115,Avon,2574,orchard,0
116,Avondale,2530,orchard,0
117,Avonside,2628,orchard,0
118,Awaba,2283,orchard,0
119,Aylmerton,2575,orchard,0
120,Baan Baa,2390,orchard,0
121,Babinda,2825,orchard,0
122,Babyl Creek,2470,orchard,0
123,Back Creek,2729,orchard,0
124,Back Forest,2535,orchard,0
125,Backmede,2470,orchard,0
126,Backwater,2365,orchard,0
127,Badgerys Creek,2555,orchard,0
128,Badja,2630,orchard,0
129,Baerami,2333,orchard,0
130,Baerami Creek,2333,orchard,0
131,Bagnoo,2446,orchard,0
132,Bago,2730,orchard,0
133,Bagotville,2477,orchard,0
134,Bakers Creek,2447,orchard,0
135,Bakers Swamp,2820,orchard,0
136,Balaclava,2575,orchard,0
137,Balala,2358,orchard,0
138,Balcolyn,2264,orchard,0
139,Bald Blair,2365,orchard,0
140,Bald Hills,2549,orchard,0
141,Bald Nob,2370,orchard,0
142,Bald Ridge,2795,orchard,0
143,Baldersleigh,2365,orchard,0
144,Baldry,2867,orchard,0
145,Balfours Peak,2403,orchard,0
146,Balgowlah,2093,orchard,0
147,Balgowlah Heights,2093,orchard,0
148,Balgownie,2519,orchard,0
149,Balickera,2324,orchard,0
150,Balladoran,2831,orchard,0
151,Ballalaba,2622,orchard,0
152,Balldale,2646,orchard,0
153,Ballengarra,2441,orchard,0
154,Ballimore,2830,orchard,0
155,Ballina,2478,orchard,0
156,Ballina Dc,2478,orchard,0
157,Ballyroe,2795,orchard,0
158,Balmain,2041,orchard,0
159,Balmain East,2041,orchard,0
160,Balmoral,2571,orchard,0
161,Balranald,2715,orchard,0
162,Bamarang,2540,orchard,0
163,Banda Banda,2446,orchard,0
164,Bandon Grove,2420,orchard,0
165,Bangadang,2729,orchard,0
166,Bangalee,2541,orchard,0
167,Bangalow,2479,orchard,0
168,Bangheet,2404,orchard,0
169,Bango,2582,orchard,0
170,Bangor,2234,orchard,0
171,Banksia,2216,orchard,0
172,Banksmeadow,2019,orchard,0
173,Bankstown,2200,orchard,0
174,Bankstown Aerodrome,2200,orchard,0
175,Bankstown North,2200,orchard,0
176,Bankstown Square,2200,orchard,0
177,Bannaby,2580,orchard,0
178,Bannister,2580,orchard,0
179,Banoon,2347,orchard,0
180,Banora Point,2486,orchard,0
181,Banyabba,2469,orchard,0
182,Bar Beach,2300,orchard,0
183,Bar Point,2083,orchard,0
184,Bara,2850,orchard,0
185,Baradine,2396,orchard,0
186,Barangaroo,2000,orchard,1
187,Barcoongere,2460,orchard,0
188,Barden Ridge,2234,orchard,0
189,Bardia,2565,orchard,0
190,Bardwell Park,2207,orchard,0
191,Bardwell Valley,2207,orchard,0
192,Barellan,2665,orchard,0
193,Bargo,2574,orchard,0
194,Barham,2732,orchard,0
195,Barigan,2850,orchard,0
196,Barkers Vale,2474,orchard,0
197,Barmedman,2668,orchard,0
198,Barneys Reef,2852,orchard,0
199,Barnsley,2278,orchard,0
200,Barraba,2347,orchard,0
201,Barrack Heights,2528,orchard,0
202,Barrack Point,2528,orchard,0
203,Barraganyatti,2441,orchard,0
204,Barragga Bay,2546,orchard,0
205,Barratta,2710,orchard,0
206,Barren Grounds,2577,orchard,0
207,Barrengarry,2577,orchard,0
208,Barretts Creek,2460,orchard,0
209,Barringella,2540,orchard,0
210,Barrington,2422,orchard,0
211,Barrington Tops,2422,orchard,0
212,Barry,2799,orchard,0
213,Barwang,2594,orchard,0
214,Barwon,2396,orchard,0
215,Baryulgil,2460,orchard,0
216,Basin View,2540,orchard,0
217,Bass Hill,2197,orchard,0
218,Bassendean,2365,orchard,0
219,Batar Creek,2439,orchard,0
220,Bateau Bay,2261,orchard,0
221,Batehaven,2536,orchard,0
222,Batemans Bay,2536,orchard,0
223,Bathampton,2795,orchard,0
224,Bathurst,2795,orchard,0
225,Bathurst West,2795,orchard,0
226,Batlow,2730,orchard,1
227,Baulkham Hills,2153,orchard,0
228,Baw Baw,2580,orchard,0
229,Bawley Point,2539,orchard,0
230,Baxters Ridge,2422,orchard,0
231,Bay Village,2261,orchard,0
232,Bayview,2104,orchard,0
233,Beacon Hill,2100,orchard,0
234,Beaconsfield,2015,orchard,0
235,Bean Creek,2469,orchard,0
236,Bearbong,2827,orchard,0
237,Beard,0,orchard,0
238,Beaumont,2577,orchard,0
239,Beaumont Hills,2155,orchard,0
240,Beckom,2665,orchard,0
241,Bective,2340,orchard,0
242,Bectric,2665,orchard,0
243,Bedgerabong,2871,orchard,0
244,Beechwood,2446,orchard,0
245,Beecroft,2119,orchard,0
246,Beecroft Peninsula,2540,orchard,0
247,Beelbangera,2680,orchard,0
248,Beemunnel,2824,orchard,0
249,Bega,2550,orchard,0
250,Beggan Beggan,2587,orchard,0
251,Belanglo,2577,orchard,0
252,Belbora,2422,orchard,0
253,Belfield,2191,orchard,0
254,Belford,2335,orchard,0
255,Belfrayden,2650,orchard,0
256,Belgravia,2800,orchard,0
257,Belimbla Park,2570,orchard,0
258,Bell,2786,orchard,0
259,Bella Vista,2153,orchard,0
260,Bellambi,2518,orchard,0
261,Bellangry,2446,orchard,0
262,Bellata,2397,orchard,0
263,Bellawongarah,2535,orchard,0
264,Bellbird,2325,orchard,0
265,Bellbird Heights,2325,orchard,0
266,Bellbrook,2440,orchard,0
267,Bellevue Hill,2023,orchard,0
268,Bellimbopinni,2440,orchard,0
269,Bellingen,2454,orchard,0
270,Bellmount Forest,2581,orchard,0
271,Belltrees,2337,orchard,0
272,Belmont,2280,orchard,0
273,Belmont North,2280,orchard,0
274,Belmont South,2280,orchard,0
275,Belmore,2192,orchard,0
276,Belmore River,2440,orchard,0
277,Beloka,2628,orchard,0
278,Belowra,2545,orchard,0
279,Belrose,2085,orchard,0
280,Belrose West,2085,orchard,0
281,Bemboka,2550,orchard,0
282,Ben Bullen,2790,orchard,0
283,Ben Lomond,2365,orchard,0
284,Benandarah,2536,orchard,0
285,Bendalong,2539,orchard,0
286,Bendemeer,2355,orchard,0
287,Bendick Murrell,2803,orchard,0
288,Bendolba,2420,orchard,0
289,Bendoura,2622,orchard,0
290,Benerembah,2680,orchard,1
291,Bengalla,2333,orchard,0
292,Bennetts Green,2290,orchard,0
293,Benolong,2818,orchard,0
294,Bensville,2251,orchard,0
295,Bentley,2480,orchard,0
296,Berala,2141,orchard,0
297,Berambing,2758,orchard,0
298,Beresfield,2322,orchard,0
299,Bergalia,2537,orchard,0
300,Berkeley,2506,orchard,0
301,Berkeley Vale,2261,orchard,0
302,Berkshire Park,2765,orchard,0
303,Berlang,2622,orchard,0
304,Bermagui,2546,orchard,0
305,Berowra,2081,orchard,0
306,Berowra Creek,2082,orchard,0
307,Berowra Heights,2082,orchard,0
308,Berowra Waters,2082,orchard,0
309,Berrambool,2548,orchard,0
310,Berrara,2540,orchard,0
311,Berremangra,2582,orchard,0
312,Berrico,2422,orchard,0
313,Berridale,2628,orchard,0
314,Berrigal,2390,orchard,0
315,Berrigan,2712,orchard,0
316,Berrilee,2159,orchard,0
317,Berrima,2577,orchard,0
318,Berringer Lake,2539,orchard,0
319,Berry,2535,orchard,1
320,Berry Jerry,2701,orchard,0
321,Berry Mountain,2535,orchard,0
322,Berry Park,2321,orchard,0
323,Berthong,2594,orchard,0
324,Beryl,2852,orchard,0
325,Bethungra,2590,orchard,0
326,Bevendale,2581,orchard,0
327,Beverley Park,2217,orchard,0
328,Beverly Hills,2209,orchard,0
329,Bewong,2540,orchard,0
330,Bexhill,2480,orchard,0
331,Bexley,2207,orchard,0
332,Bexley North,2207,orchard,0
333,Bexley South,2207,orchard,0
334,Biala,2581,orchard,0
335,Bibbenluke,2632,orchard,0
336,Bickley Vale,2570,orchard,0
337,Biddon,2827,orchard,0
338,Bidgeemia,2642,orchard,0
339,Bidwill,2770,orchard,0
340,Bielsdown Hills,2453,orchard,0
341,Big Hill,2579,orchard,0
342,Big Jacks Creek,2339,orchard,0
343,Big Ridge,2330,orchard,0
344,Big Springs,2650,orchard,0
345,Big Yengo,2330,orchard,0
346,Bigga,2583,orchard,0
347,Bilambil,2486,orchard,0
348,Bilambil Heights,2486,orchard,0
349,Bilbul,2680,orchard,0
350,Bilgola Beach,2107,orchard,0
351,Bilgola Plateau,2107,orchard,0
352,Billeroy,2829,orchard,0
353,Billilingra,2630,orchard,0
354,Billimari,2804,orchard,0
355,Billinudgel,2483,orchard,0
356,Billys Creek,2453,orchard,0
357,Billywillinga,2795,orchard,0
358,Bilpin,2758,orchard,4
359,Bimbi,2810,orchard,0
