suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
15,Adamstown,2289,Dr Gwendolin Flanagan,dentist,5,3,151.7233788,-32.934079,"637 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,No Gap Smiles,dentist,4.3,6,151.728342,-32.934906,"557 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Hunter Periodontics and Implants,dentist,0,0,151.7261006,-32.9359315,"Adamstown Plaza, 4a/293 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Keogh Michael,dentist,0,0,151.7284938,-32.934495,"562 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Dr John O'Hara,dentist,0,0,151.728358,-32.934815,"557 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Infinity Dental Laboratory,dentist,5,1,151.7142578,-32.9391595,"108 Dibbs St, Adamstown NSW 2289, Australia"
24,Albion Park,2527,Albion Park Dental,dentist,4.2,5,150.7730663,-34.570684,"3/152 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Tongarra Road Family Dental,dentist,4.6,20,150.7737787,-34.57062020000001,"7/146 Tongarra Rd, Albion Park NSW 2527, Australia"
26,Albury,2640,Bell Paul R,dentist,5,1,146.917361,-36.077075,"525 Wilson St, Albury NSW 2640, Australia"
26,Albury,2640,James W Sexton -Tim Tarnowskyj Denture Clinic,dentist,5,3,146.9223449,-36.0813545,"440 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Clearbite,dentist,0,0,146.922692,-36.07915,"440 Swift St, Albury NSW 2640, Australia"
26,Albury,2640,IM Dental - Dr J E Poyner,dentist,0,0,146.9128477,-36.0781417,"593 Englehardt St, Albury NSW 2640, Australia"
26,Albury,2640,Award Orthodontics,dentist,4,2,146.9164581,-36.0747718,"607 Kiewa St, Albury NSW 2640, Australia"
26,Albury,2640,Totally Smiles,dentist,0,0,146.9223181,-36.0811887,"440 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Mate Street Dental Clinic,dentist,4.9,114,146.933522,-36.05513699999999,"1058 Mate St, Albury NSW 2640, Australia"
26,Albury,2640,Kelly Bernadette,dentist,0,0,146.9093612,-36.0781353,"536 Thurgoona St, Albury NSW 2640, Australia"
26,Albury,2640,Ashby Helen,dentist,0,0,146.9093612,-36.0781353,"536 Thurgoona St, Albury NSW 2640, Australia"
26,Albury,2640,Evolve Orthodontics,dentist,0,0,146.9211094,-36.0809416,"Shop 6/510 David St, Albury NSW 2640, Australia"
26,Albury,2640,Northern Periodontics & Implants,dentist,0,0,146.9108131,-36.0818119,"Suite 1, Lvl 4/470 Wodonga Pl, Albury NSW 2640, Australia"
26,Albury,2640,Allan J Ward Orthodontist,dentist,0,0,146.9161654,-36.0748497,"607 Kiewa St, Albury NSW 2640, Australia"
26,Albury,2640,CSU Dental & Oral Health Clinic Albury,dentist,5,1,146.9922809,-36.0433633,"Leahy Ave, Albury NSW 2640, Australia"
26,Albury,2640,Brabant J L,dentist,0,0,146.90925,-36.078777,"522 Thurgoona St, Albury NSW 2640, Australia"
26,Albury,2640,MP Dental Albury,dentist,4.8,24,146.9094285,-36.0781444,"536 Thurgoona St, Albury NSW 2640, Australia"
26,Albury,2640,IM Dental,dentist,5,4,146.9128477,-36.0781417,"593 Englehardt St, Albury NSW 2640, Australia"
26,Albury,2640,Kreativ Dental,dentist,4.3,6,146.9173742,-36.0770324,"525 Wilson St, Albury NSW 2640, Australia"
26,Albury,2640,City Gardens Dental,dentist,5,1,146.910787,-36.0818648,"l4/470 Wodonga Pl, Albury NSW 2640, Australia"
26,Albury,2640,Albury Community Dental,dentist,0,0,146.9115366,-36.0820832,"596 Smollett St, Albury NSW 2640, Australia"
26,Albury,2640,John Appleyard Dental,dentist,4.2,5,146.91694,-36.0785921,"526 Swift St, Albury NSW 2640, Australia"
26,Albury,2640,Albury Family Dental,dentist,5,5,146.9217803,-36.0716721,"685 David St, Albury NSW 2640, Australia"
26,Albury,2640,Smollett St. Dental,dentist,5,3,146.9194827,-36.0835965,"471 Smollett St, Albury NSW 2640, Australia"
26,Albury,2640,Peach Dental - Dr. Robert Peach,dentist,5,3,146.9244046,-36.0752769,"427 Guinea St, Albury NSW 2640, Australia"
26,Albury,2640,IM Dental - Dr Iain Mentiplay,dentist,0,0,146.9128477,-36.0781417,"593 Englehardt St, Albury NSW 2640, Australia"
26,Albury,2640,Dr Nick Magelakis,dentist,5,4,146.9217803,-36.0716721,"NOW AT Albury Family Dental, 685 David St, Albury NSW 2640, Australia"
26,Albury,2640,Smile Labs Albury,dentist,5,1,146.9205866,-36.0805276,"7/525 David St, Albury NSW 2640, Australia"
26,Albury,2640,Westman A,dentist,0,0,146.924883,-36.073096,"426 Crisp St, Albury NSW 2640, Australia"
26,Albury,2640,Evolve Specialist Orthodontics Albury,dentist,5,25,146.9092495,-36.0787765,"522 Thurgoona St, Albury NSW 2640, Australia"
