suburb_id,suburb,bus stop,coffee shop,dental,hair care,motor repair,restaurant,orchard,clothing store
0,Aarons Pass,0,0,0,0,0,0,0,0
1,Abbotsbury,25,3,0,2,1,4,0,0
2,Abbotsford,1,3,0,1,0,5,0,0
3,Abercrombie,1,0,0,0,0,0,0,0
4,Abercrombie River,0,0,0,0,0,0,1,0
5,Aberdare,12,0,0,1,0,2,0,0
6,Aberdeen,0,0,0,0,0,1,0,0
7,Aberfoyle,0,0,0,0,0,0,0,0
8,Aberglasslyn,11,1,0,2,0,1,0,0
9,Abermain,12,0,0,1,0,2,0,0
10,Abernethy,3,0,0,0,0,0,0,0
11,Abington,0,0,0,0,0,0,0,0
12,Acacia Creek,0,0,0,0,1,0,0,0
13,Acacia Gardens,16,0,0,1,0,0,1,1
14,Adaminaby,1,2,0,0,0,2,0,0
15,Adamstown,28,10,6,14,7,20,0,6
16,Adamstown Heights,22,0,0,1,0,0,1,0
17,Adelong,1,1,0,1,2,2,0,1
18,Adjungbilly,0,0,0,0,0,0,0,0
19,Afterlee,0,0,0,0,0,0,0,0
20,Agnes Banks,6,0,0,0,0,0,1,0
21,Airds,27,0,0,0,1,1,1,0
22,Akolele,0,0,0,0,0,0,0,0
23,Albert,0,0,0,0,0,0,0,0
24,Albion Park,35,9,2,14,5,21,10,5
25,Albion Park Rail,43,4,0,5,31,11,22,7
26,Albury,19,44,32,44,19,59,1,60
27,Aldavilla,3,0,0,0,0,0,0,0
28,Alectown,1,0,0,0,0,0,0,0
29,Alexandria,33,40,9,11,21,50,3,30
30,Alfords Point,16,0,0,2,0,1,7,0
31,Alfredtown,0,0,0,0,0,0,0,0
32,Alice,0,0,0,0,0,0,0,0
33,Alison,1,0,0,0,0,2,0,0
34,Allambie Heights,31,4,3,2,3,9,0,2
35,Allandale,0,0,0,0,0,0,0,0
36,Allawah,2,1,1,5,0,8,0,0
37,Alleena,0,0,0,0,0,0,0,0
38,Allgomera,0,0,0,0,0,0,0,0
39,Allworth,1,0,0,0,0,0,0,0
40,Allynbrook,0,0,0,0,0,0,1,0
41,Alma Park,0,0,0,0,0,0,0,0
42,Alpine,1,0,0,0,0,0,0,0
43,Alstonvale,0,0,0,0,0,0,0,0
44,Alstonville,4,6,5,9,2,11,6,3
45,Alumy Creek,0,0,0,0,0,0,0,0
46,Amaroo,0,0,0,0,0,0,0,0
47,Ambarvale,26,2,0,1,1,6,0,5
48,Anabranch North,0,0,0,0,0,0,0,0
49,Anabranch South,0,0,0,0,0,0,0,0
50,Anambah,0,0,0,0,0,0,1,0
51,Ando,0,0,0,0,0,0,0,0
52,Anembo,0,0,0,0,0,0,0,0
53,Angledale,0,0,0,0,0,0,0,0
54,Angledool,0,0,0,0,0,0,0,0
55,Anglers Reach,1,0,0,0,0,0,0,0
56,Angourie,1,0,0,0,0,1,0,0
57,Anna Bay,33,4,0,3,4,5,28,3
58,Annandale,11,15,3,7,3,30,1,7
59,Annangrove,28,2,0,2,2,3,0,1
60,Appin,12,2,0,2,4,8,0,1
61,Apple Tree Flat,0,0,0,0,0,0,4,0
62,Appleby,0,0,0,0,0,0,0,0
63,Appletree Flat,0,0,0,0,0,0,0,0
64,Apsley,0,0,0,0,0,0,0,0
65,Arable,0,0,0,0,0,0,0,0
66,Arakoon,0,1,0,0,0,1,0,0
67,Araluen,0,0,0,0,0,0,1,0
68,Aratula,0,0,0,0,0,0,0,0
69,Arcadia,22,1,0,1,2,0,1,0
70,Arcadia Vale,10,0,0,0,0,0,0,0
71,Ardglen,0,0,0,0,0,0,0,0
72,Arding,0,0,0,0,0,0,1,0
73,Ardlethan,1,2,0,0,0,1,0,0
74,Argalong,0,0,0,0,0,0,0,0
75,Argenton,9,1,0,1,1,4,0,2
76,Argents Hill,0,0,0,0,0,0,0,0
77,Argoon,0,0,0,0,0,0,0,0
78,Argyle,0,0,0,0,0,0,0,0
79,Ariah Park,2,1,0,0,1,1,23,0
80,Arkell,0,0,0,0,0,0,0,0
81,Arkstone,0,0,0,0,0,0,0,0
82,Armatree,0,0,0,0,0,0,0,0
83,Armidale,33,36,15,32,43,60,0,35
84,Armidale Dc,0,0,0,0,0,0,0,0
85,Arncliffe,13,5,4,11,24,23,0,1
86,Arndell Park,15,7,0,3,30,14,0,4
87,Arrawarra,1,1,0,0,0,1,0,0
88,Arrawarra Headland,3,0,0,0,0,0,0,0
89,Artarmon,15,18,4,3,57,36,1,1
90,Arthurville,0,0,0,0,0,0,0,0
91,Arumpo,0,0,0,0,0,0,0,0
92,Ashbury,15,2,0,2,1,3,0,0
93,Ashby,0,0,0,0,0,0,0,0
94,Ashby Heights,0,0,0,0,0,0,0,0
95,Ashby Island,0,0,0,0,0,0,0,0
96,Ashcroft,18,0,0,0,0,1,0,0
97,Ashfield,43,23,22,21,14,52,0,4
98,Ashford,0,0,0,0,0,0,0,0
