suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
1,Abbotsbury,2176,Amoretti's Restaurant,restaurant,4.2,287,150.8589715,-33.8823064,"745 Elizabeth Dr, Abbotsbury NSW 2176, Australia"
1,Abbotsbury,2176,Cugini & Co,restaurant,4.8,36,150.865261,-33.8696244,"Shop 4/60-68 Stockdale Cres, Abbotsbury NSW 2176, Australia"
1,Abbotsbury,2176,Parx Coffee House,restaurant,4.5,262,150.8651897,-33.8698547,"2/60-68 Stockdale Cres, Abbotsbury NSW 2176, Australia"
1,Abbotsbury,2176,RT Pl | Af Pl Se,restaurant,0,0,150.8665012,-33.8692928,"55 Stockdale Cres, Abbotsbury NSW 2176, Australia"
2,Abbotsford,2046,Andiamo Trattoria Abbotsford,restaurant,4.4,255,151.128095,-33.847487,"565 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,"Watergrill Restaurant, Abbotsford",restaurant,3.8,133,151.1275473,-33.844305,"613 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,Due Passi - Italian Street Food,restaurant,4.6,98,151.1280262,-33.8475988,"563 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,Miniko,restaurant,4.7,22,151.1280201,-33.8477195,"559 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,Donny's Pizza,restaurant,4.6,122,151.1279688,-33.8482046,"547 Great N Rd, Abbotsford NSW 2046, Australia"
5,Aberdare,2325,Aberdare Take Away Shop,restaurant,3.9,90,151.3729451,-32.8430366,"69 Aberdare Rd, Aberdare NSW 2325, Australia"
5,Aberdare,2325,Restaurant 22Tom,restaurant,5,5,151.3829474,-32.8418249,"43 Comerford Cl, Aberdare NSW 2325, Australia"
6,Aberdeen,2336,Pete's Pizza,restaurant,4.7,45,150.8913041,-32.1729907,"2/172 - 182 New England Hwy, Aberdeen NSW 2336, Australia"
8,Aberglasslyn,2320,Mckeachies Corner Cafe,restaurant,4.5,83,151.5399127,-32.7026203,"8 McKeachie Dr, Aberglasslyn NSW 2320, Australia"
9,Abermain,2326,Ridgey Didge Pies,restaurant,4.4,136,151.4380518,-32.8118113,"139 Cessnock Rd, Abermain NSW 2326, Australia"
9,Abermain,2326,Leonie's Burgers and Seafood,restaurant,4.1,8,151.4321998,-32.8107561,"205 Cessnock Rd, Abermain NSW 2326, Australia"
14,Adaminaby,2629,THE Bake House,restaurant,4.5,93,148.7743261,-35.9964891,"11 Denison St, Adaminaby NSW 2630, Australia"
14,Adaminaby,2629,Adaminaby Bowling Bistro,restaurant,4.8,4,148.7757296,-35.9978982,"Adaminaby NSW 2629, Australia"
15,Adamstown,2289,The Brasserie at The Merewether,restaurant,5,1,151.73287,-32.9407143,"40 King St, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Asian Delight,restaurant,4.3,76,151.7258528,-32.93495,"267 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Mrs Lin's Kitchen,restaurant,4.1,16,151.7259433,-32.9357298,"3b/289 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Harry's Gourmet Pizza,restaurant,4.3,85,151.725846,-32.9347967,"263 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,The Gates Hotel,restaurant,4.3,336,151.7212401,-32.9334359,"660 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Mixed Spices Thai Restaurant,restaurant,4.3,8,151.7294036,-32.9335697,"18-20 Bryant St, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Maxi's Caffe,restaurant,4.1,24,151.7255202,-32.9349641,"266 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Fernleigh Cafe,restaurant,4.4,189,151.7167,-32.9388104,"89 Fletcher St, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Adam's Ribs And Pizza,restaurant,4.4,321,151.7293092,-32.9345904,"548 Glebe Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,The Ritz Cafe,restaurant,3.7,53,151.7258315,-32.9349256,"265 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Henny Penny Foods,restaurant,3.9,60,151.7256328,-32.9360841,"281/293 Brunker Rd, Adamstown NSW 2553, Australia"
15,Adamstown,2289,Brunker Kebabs & Take-away,restaurant,4.1,29,151.7259861,-32.9345431,"255A Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Domino's Pizza Adamstown,restaurant,4,89,151.725632,-32.93478,"260 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Pekárna,restaurant,4.6,76,151.7257099,-32.935568,"277 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,The Barn Adamstown,restaurant,4.3,241,151.728586,-32.9310269,"30 Narara Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Hungry Wolf's Pizza Adamstown,restaurant,4.1,15,151.72572,-32.9357163,"1/289 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,The Nags Head Hotel,restaurant,4.3,175,151.7255274,-32.9351018,"272 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Secret Garden Asian Cuisine Restaurant,restaurant,5,1,151.7296393,-32.9331015,"34/2 Bryant St, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Foodworks,restaurant,4.2,10,151.725891,-32.9345747,"257 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,7-Eleven Adamstown,restaurant,3.4,9,151.7295567,-32.9350125,"531-537 Glebe Rd, Adamstown NSW 2289, Australia"
17,Adelong,2729,Adelong Cafe,restaurant,4.4,93,148.0654109,-35.3088293,"49 Tumut St, Adelong NSW 2729, Australia"
17,Adelong,2729,"The Royal Hotel, Adelong",restaurant,4.5,128,148.0659717,-35.3090188,"45 Tumut St, Adelong NSW 2729, Australia"
21,Airds,2560,BP,restaurant,4.1,21,150.8287235,-34.0859355,"56-60 Riverside Dr, Airds NSW 2560, Australia"
24,Albion Park,2527,Ravensthorpe Guesthouse and Restaurant,restaurant,4.7,99,150.7860494,-34.5692424,"56 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Tongarra Thai,restaurant,4.4,82,150.7733326,-34.5707166,"Unit 3/150 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Joe's Milkbar,restaurant,4.7,161,150.774752,-34.572318,"Shop 11, Albion Park Shopping VIllage, Entrance to carpark on Russel St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Il Lago Pizzeria,restaurant,4.2,16,150.7609529,-34.5741606,"3/7 Sophia St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Pinocchio Pizza Albion Park,restaurant,4.2,118,150.777041,-34.5792456,"148 Terry St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Blue Jay Cafe,restaurant,4.6,311,150.760887,-34.57423,"Shop 1/7 Sophia St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Delicious Delights,restaurant,4.4,103,150.7741135,-34.5710253,"3/149 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Terry Street Take Away,restaurant,4.3,88,150.7772965,-34.5794407,"1/156 Terry St, Albion Park NSW 2527, Australia"
