suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
1,Abbotsbury,2176,Parx Coffee House,cafe,4.5,262,150.8651897,-33.8698547,"2/60-68 Stockdale Cres, Abbotsbury NSW 2176, Australia"
1,Abbotsbury,2176,Cafe Saluti,cafe,4.2,17,150.8765488,-33.8492617,"The Horsley Dr &, Cowpasture Rd, Abbotsbury NSW 2176, Australia"
1,Abbotsbury,2176,Cafe Saluti coffee cart,cafe,0,0,150.8741667,-33.8501659,"1521 The Horsley Dr, Abbotsbury NSW 2176, Australia"
2,Abbotsford,2046,The Cove Dining,cafe,4.1,293,151.1289528,-33.8509528,"378 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,Due Passi - Italian Street Food,cafe,4.6,98,151.1280262,-33.8475988,"563 Great N Rd, Abbotsford NSW 2046, Australia"
2,Abbotsford,2046,"Watergrill Restaurant, Abbotsford",cafe,3.8,133,151.1275473,-33.844305,"613 Great N Rd, Abbotsford NSW 2046, Australia"
8,Aberglasslyn,2320,Mckeachies Corner Cafe,cafe,4.5,83,151.5399127,-32.7026203,"8 McKeachie Dr, Aberglasslyn NSW 2320, Australia"
14,Adaminaby,2629,Adaminaby Bank Cafe,cafe,5,1,148.7737953,-35.995883,"18 Denison St, Adaminaby NSW 2629, Australia"
14,Adaminaby,2629,Big Trout Takeaway,cafe,4.6,11,148.774706,-35.99688829999999,"23A Baker St, Adaminaby NSW 2629, Australia"
15,Adamstown,2289,The Barn Adamstown,cafe,4.3,241,151.728586,-32.9310269,"30 Narara Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Pekárna,cafe,4.6,76,151.7257099,-32.935568,"277 Brunker Rd, Adamstown NSW 2289, Australia"
15,Adamstown,2289,Fernleigh Cafe,cafe,4.4,189,151.7167,-32.9388104,"89 Fletcher St, Adamstown NSW 2289, Australia"
