suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
20,Agnes Banks,2753,Schofields Orange Orchard,orchard,3.4,41,150.7235706,-33.5924158,"42 Yarramundi Ln, Agnes Banks NSW 2753, Australia"
26,Albury,2640,Orchard Road Nail & Beauty,orchard,4.2,19,146.9190765,-36.0802013,"526 Olive St, Albury NSW 2640, Australia"
29,Alexandria,2015,Bourke St opp Orchard Rd,orchard,0,0,151.189865,-33.916439,"Alexandria NSW 2015, Australia"
29,Alexandria,2015,Bourke St after Orchard Rd,orchard,0,0,151.189102,-33.917519,"Alexandria NSW 2015, Australia"
61,Apple Tree Flat,2850,Broombee Organic Orchard & Vineyard,orchard,4.6,10,149.68765,-32.674669,"1056 Castlereagh Hwy, Apple Tree Flat NSW 2850, Australia"
186,Barangaroo,2000,Orchard Lendiing,orchard,4.3,6,151.2021367,-33.8651342,"300 Barangaroo Ave, Barangaroo NSW 2000, Australia"
226,Batlow,2730,Wilgro Orchard,orchard,4.5,26,148.1526136,-35.4924315,"4065 Batlow Rd, Batlow NSW 2730, Australia"
290,Benerembah,2680,Olam Kerarbury Orchard,orchard,4.3,3,145.8334197,-34.6126213,"Darlington Point NSW 2706, Australia"
319,Berry,2535,Berry Orchard,orchard,0,0,150.687897,-34.773798,"17 George St, Berry NSW 2535, Australia"
358,Bilpin,2758,Bilpin Springs Orchard,orchard,4.6,76,150.5134212,-33.4966457,"2550 Bells Line of Rd, Bilpin NSW 2758, Australia"
358,Bilpin,2758,Shields Orchard,orchard,4.7,55,150.5409068,-33.5023724,"2270 Bells Line of Rd, Bilpin NSW 2758, Australia"
358,Bilpin,2758,Pine Crest Orchard Bilpin,orchard,4.5,163,150.5158068,-33.4976659,"2549 Bells Line of Rd, Bilpin NSW 2758, Australia"
358,Bilpin,2758,Bilpin Apple Pie Cottage Orchard Caffe,orchard,3.4,199,150.4612747,-33.5213995,"3158 Bells Line of Rd, Bilpin NSW 2758, Australia"
383,Black Hill,2322,Orchard End,orchard,0,0,151.644093,-32.838654,"163 Lenaghans Dr, Black Hill NSW 2322, Australia"
514,Borenore,2800,Norland Fig Orchard,orchard,4.8,6,148.9697405,-33.2678556,"158 Bradleys Rd, Borenore NSW 2800, Australia"
514,Borenore,2800,Kelanvale Orchard,orchard,5,3,148.9849189,-33.2646619,"417 Borenore Rd, Borenore NSW 2800, Australia"
541,Box Hill,2765,The Orchard (Goldmate Property),orchard,0,0,150.8790621,-33.65416829999999,"7/11 Boundary Rd, Box Hill NSW 2765, Australia"
541,Box Hill,2765,Orchard Park,orchard,4,33,150.9009926,-33.63258690000001,"Box Hill NSW 2765, Australia"
595,Bronte,2024,Orchard St. Bronte Dispensary,orchard,4.4,14,151.2636233,-33.9062445,"137 Macpherson St, Bronte NSW 2024, Australia"
663,Bulli,2516,Orchard Landscapes,orchard,0,0,150.917849,-34.334316,"9 Park Rd, Bulli NSW 2516, Australia"
784,Camperdown,2050,The Sports Clinic - Dr John Orchard,orchard,4,8,151.1865641,-33.887919,"The Sports Clinic, Western Ave at corner of Physics Road University of, NSW 2006, Australia"
797,Canoelands,2157,Canoelands Orchard,orchard,4.4,136,151.0575567,-33.5052701,"27-29 Canoelands Rd, Canoelands NSW 2157, Australia"
827,Carool,2486,Ocean View Orchard Eco Retreat,orchard,5,1,153.4332752,-28.2279669,"389 Carool Rd, Carool NSW 2486, Australia"
