suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
6,Aberdeen,2336,Aberdeen Station,train_station,4.7,3,150.8921355,-32.1676989,"Aberdeen NSW 2336, Australia"
15,Adamstown,2289,Adamstown Station,train_station,3.9,13,151.7200286,-32.9338536,"Adamstown NSW 2289, Australia"
26,Albury,2640,Albury,train_station,4.1,97,146.9245556,-36.0837873,"Albury NSW 2640, Australia"
28,Alectown,2870,Alectown West,train_station,0,0,148.17353,-32.9332199,"Alectown NSW 2870, Australia"
29,Alexandria,2015,Green Square,train_station,3.4,85,151.2024545,-33.9062418,"Alexandria NSW 2015, Australia"
73,Ardlethan,2665,Ardlethan,train_station,5,1,146.90194,-34.3580299,"Ardlethan NSW 2665, Australia"
79,Ariah Park,2665,Ariah Park,train_station,1,1,147.23328,-34.3527099,"Ariah Park NSW 2665, Australia"
82,Armatree,2831,Armatree,train_station,5,1,148.48106,-31.4478699,"Armatree NSW 2831, Australia"
83,Armidale,2350,Armidale Station,train_station,3.3,9,151.6517818,-30.5151751,"Brown St, West Armidale NSW 2350, Australia"
83,Armidale,2350,Kellys Plains,train_station,1,1,151.64477,-30.5678299,"Armidale Region NSW 2350, Australia"
85,Arncliffe,2205,Arncliffe Station,train_station,4.4,26,151.1472922,-33.9362414,"Arncliffe NSW 2205, Australia"
89,Artarmon,2064,Artarmon Station,train_station,3.9,42,151.1851236,-33.80883110000001,"Artarmon NSW 2064, Australia"
97,Ashfield,2131,Ashfield,train_station,4.1,65,151.1258609,-33.8876077,"Ashfield NSW 2131, Australia"
99,Ashley,2400,Moree Station,train_station,4,2,149.848202,-29.4733801,"Gosport St, Moree NSW 2400, Australia"
102,Asquith,2077,Asquith Station,train_station,4.2,20,151.1081485,-33.6886932,"Asquith NSW 2077, Australia"
105,Auburn,2144,Auburn,train_station,3.8,87,151.0328916,-33.8491889,"Auburn NSW 2144, Australia"
107,Austinmer,2515,Austinmer Station,train_station,4,3,150.9293414,-34.3064648,"Austinmer NSW 2515, Australia"
118,Awaba,2283,Awaba Station,train_station,4.1,8,151.542003,-33.0130459,"Awaba NSW 2283, Australia"
120,Baan Baa,2390,Baan Baa,train_station,0,0,149.95183,-30.5975699,"Baan Baa NSW 2390, Australia"
171,Banksia,2216,Banksia Station,train_station,4.6,28,151.1404131,-33.9453067,"Banksia NSW 2216, Australia"
173,Bankstown,2200,Bankstown,train_station,3.8,74,151.034149,-33.917854,"Bankstown NSW 2200, Australia"
190,Bardwell Park,2207,Bardwell Park Station,train_station,3.5,14,151.1248947,-33.9315724,"Bardwell Park NSW 2207, Australia"
192,Barellan,2665,Barellan,train_station,2,1,146.57309,-34.2836899,"Barellan NSW 2665, Australia"
192,Barellan,2665,Garoolgan,train_station,0,0,146.44257,-34.2507899,"Barellan NSW 2665, Australia"
193,Bargo,2574,Bargo Station,train_station,3.7,3,150.5800307,-34.2910909,"Bargo NSW 2574, Australia"
197,Barmedman,2668,Barmedman,train_station,0,0,147.38146,-34.1432158,"Barmedman NSW 2668, Australia"
197,Barmedman,2668,Yiddah,train_station,0,0,147.31962,-34.0367499,"Barmedman NSW 2668, Australia"
197,Barmedman,2668,Wargin,train_station,0,0,147.25551,-34.1148099,"Barmedman NSW 2668, Australia"
224,Bathurst,2795,Bathurst,train_station,4.6,17,149.5832252,-33.4255921,"Keppel St, Bathurst NSW 2795, Australia"
240,Beckom,2665,Beckom,train_station,0,0,146.9612446,-34.3252034,"Beckom NSW 2665, Australia"
240,Beckom,2665,Mirrool,train_station,0,0,147.08785,-34.3085399,"Beckom NSW 2665, Australia"
245,Beecroft,2119,Beecroft Station,train_station,3.9,25,151.066388,-33.7496856,"Beecroft NSW 2119, Australia"
258,Bell,2786,Bell Station,train_station,3.9,7,150.278888,-33.5056603,"Bell NSW 2786, Australia"
260,Bellambi,2518,Bellambi Station,train_station,3.9,7,150.9100571,-34.3628721,"Bellambi NSW 2518, Australia"
275,Belmore,2192,Belmore,train_station,4.1,26,151.0883315,-33.917181,"Belmore NSW 2192, Australia"
282,Ben Bullen,2790,Ben Bullen,train_station,5,2,150.02232,-33.2174699,"Ben Bullen NSW 2790, Australia"
287,Bendick Murrell,2803,Bendick Murrell,train_station,0,0,148.45053,-34.1550299,"Bendick Murrell NSW 2803, Australia"
296,Berala,2141,Berala,train_station,3.8,24,151.0322785,-33.8715545,"Berala NSW 2141, Australia"
298,Beresfield,2322,Beresfield Station,train_station,4.3,7,151.658117,-32.7991168,"Beresfield NSW 2322, Australia"
319,Berry,2535,Berry Station,train_station,5,5,150.6965918,-34.7803092,"Berry NSW 2535, Australia"
325,Bethungra,2590,Bethungra,train_station,0,0,147.86165,-34.7639399,"Bethungra NSW 2590, Australia"
328,Beverly Hills,2209,Beverly Hills Station,train_station,4.3,28,151.0811685,-33.9490339,"Beverly Hills NSW 2209, Australia"
332,Bexley North,2207,Bexley North Station,train_station,3.2,13,151.1135141,-33.9375236,"Bexley North NSW 2207, Australia"
354,Billimari,2804,Billimari,train_station,0,0,148.6167608,-33.6800789,"Billimari NSW 2804, Australia"
355,Billinudgel,2483,Ocean Shores Railway Station,train_station,2.3,3,153.5274248,-28.5037493,"Wilfred St, Billinudgel NSW 2483, Australia"
368,Biniguy,2399,Biniguy Railway Station,train_station,0,0,150.2057803,-29.542775,"Unnamed Road, Biniguy NSW 2399, Australia"
371,Binnaway,2395,Binnaway,train_station,5,1,149.38197,-31.5460599,"Binnaway NSW 2395, Australia"
371,Binnaway,2395,Piambra,train_station,0,0,149.374,-31.63459989999999,"Binnaway NSW 2395, Australia"
371,Binnaway,2395,Ulinda,train_station,0,0,149.4831,-31.5829099,"Binnaway NSW 2395, Australia"
371,Binnaway,2395,Murrawal,train_station,0,0,149.33785,-31.4640399,"Binnaway NSW 2395, Australia"
378,Birrong,2143,Birrong Station,train_station,3.5,21,151.0240292,-33.8932932,"Birrong NSW 2143, Australia"
391,Blackheath,2785,Blackheath Station,train_station,4.3,15,150.2843448,-33.6332728,"Blackheath NSW 2785, Australia"
395,Blacktown,2148,Blacktown Station,train_station,3.8,131,150.9074192,-33.768589,"Blacktown NSW 2148, Australia"
407,Blaxland,2774,Blaxland Station,train_station,4.7,9,150.6096338,-33.7436417,"Blaxland NSW 2774, Australia"
411,Blayney,2799,Blayney Station,train_station,4.7,3,149.254517,-33.527039,"Blayney NSW 2799, Australia"
411,Blayney,2799,Wombiana,train_station,0,0,149.23211,-33.5122199,"Blayney NSW 2799, Australia"
411,Blayney,2799,Murrobo,train_station,0,0,149.2729205,-33.5306561,"Blayney NSW 2799, Australia"
411,Blayney,2799,Athol,train_station,0,0,149.3069573,-33.5472711,"Blayney NSW 2799, Australia"
438,Bogan Gate,2876,Bogan Gate,train_station,4.2,5,147.80227,-33.1088999,"Bogan Gate NSW 2876, Australia"
442,Boggabri,2382,Boggabri Station,train_station,5,2,150.040091,-30.7036073,"Boggabri NSW 2382, Australia"
453,Bomaderry,2541,Bomaderry Station,train_station,4.1,28,150.6097649,-34.8538624,"Meroo St, Bomaderry NSW 2541, Australia"
458,Bombo,2533,Bombo Station,train_station,4.8,4,150.8538007,-34.6585544,"Bombo NSW 2533, Australia"
461,Bomen,2650,Bomen Railway Station,train_station,0,0,147.4143496,-35.0725772,"Dampier Street, Bomen NSW 2650, Australia"
467,Bondi Junction,2022,Bondi Junction,train_station,4.2,99,151.2484687,-33.8910387,"Bondi Junction NSW 2022, Australia"
482,Boolaroo,2284,Cockle Creek Station,train_station,4.1,11,151.6235135,-32.9426653,"Boolaroo NSW 2284, Australia"
513,Boree Creek,2652,Boree Creek,train_station,0,0,146.60756,-35.1095799,"Boree Creek NSW 2652, Australia"
513,Boree Creek,2652,Long Park,train_station,5,1,146.65438,-35.1464499,"Boree Creek NSW 2652, Australia"
514,Borenore,2800,Borenore,train_station,0,0,148.97639,-33.2519699,"Borenore NSW 2800, Australia"
531,Bowenfels,2790,Historic Bowenfels Station,train_station,3.5,4,150.1356427,-33.4767338,"Cooerwull Rd, Bowenfels NSW 2790, Australia"
537,Bowning,2582,Bowning,train_station,0,0,148.82164,-34.7653699,"Bowning NSW 2582, Australia"
538,Bowral,2576,Bowral Station,train_station,4.8,16,150.4169252,-34.477915,"Station St, Bowral NSW 2576, Australia"
551,Branxton,2335,Branxton Station,train_station,4.5,2,151.3458305,-32.66216790000001,"Branxton NSW 2335, Australia"
557,Breadalbane,2581,Breadalbane,train_station,0,0,149.48999,-34.7892499,"Breadalbane NSW 2581, Australia"
557,Breadalbane,2581,Cullerin,train_station,0,0,149.40843,-34.7842699,"Breadalbane NSW 2581, Australia"
566,Brewongle,2795,Brewongle,train_station,1,1,149.71321,-33.4788499,"Brewongle NSW 2795, Australia"
568,Bribbaree,2594,Bribbaree,train_station,0,0,147.88149,-34.1182899,"Bribbaree NSW 2594, Australia"
568,Bribbaree,2594,Eurabba,train_station,0,0,147.82707,-34.0559299,"Bribbaree NSW 2594, Australia"
569,Bridgman,2330,Glennies Creek,train_station,0,0,151.13702,-32.4888499,"Bridgman NSW 2330, Australia"
578,Broadmeadow,2292,Broadmeadow Station,train_station,4.4,45,151.7349472,-32.9229578,"Broadmeadow NSW 2292, Australia"
582,Brocklehurst,2830,Talbragar,train_station,0,0,148.62659,-32.1909999,"Brocklehurst NSW 2830, Australia"
586,Brogans Creek,2848,Brogans Creek,train_station,0,0,149.9467293,-32.9848175,"Brogans Creek NSW 2848, Australia"
