suburb,id
Abbotsbury,1
Abbotsford,2
Abercrombie,3
Aberdare,4
Aberdeen,5
Aberglasslyn,6
Abermain,7
Abernethy,8
Acacia Creek,9
Acacia Gardens,10
Adaminaby,11
Adamstown,12
Adamstown Heights,13
Adelong,14
Agnes Banks,15
Airds,16
Albion Park,17
Albion Park Rail,18
Albury,19
Aldavilla,20
Alectown,21
Alexandria,22
Alfords Point,23
Alison,24
Allambie Heights,25
Allawah,26
Allworth,27
Alpine,28
Alstonville,29
Ambarvale,30
Anglers Reach,31
Angourie,32
Anna Bay,33
Annandale,34
Annangrove,35
Appin,36
Apple Tree Flat,37
Arakoon,38
Arcadia,39
Arcadia Vale,40
Ardlethan,41
Argenton,42
Ariah Park,43
Armatree,44
Armidale,45
Arncliffe,46
Arndell Park,47
Arrawarra,48
Arrawarra Headland,49
Artarmon,50
Ashbury,51
Ashcroft,52
Ashfield,53
Ashley,54
Ashmont,55
Ashtonfield,56
Asquith,57
Auburn,58
Austinmer,59
Austral,60
Avalon,61
Avalon Beach,62
Avoca Beach,63
Avondale,64
Avonside,65
Awaba,66
Baan Baa,67
Badgerys Creek,68
Balaclava,69
Balcolyn,70
Balgowlah,71
Balgowlah Heights,72
Balgownie,73
Ballina,74
Balmain,75
Balmain East,76
Bangalee,77
Bangalow,78
Bangor,79
Banksia,80
Banksmeadow,81
Bankstown,82
Bankstown Aerodrome,83
Banora Point,84
Bar Beach,85
Baradine,86
Barangaroo,87
Barden Ridge,88
Bardia,89
Bardwell Park,90
Bardwell Valley,91
Barellan,92
Bargo,93
Barham,94
Barmedman,95
Barnsley,96
Barraba,97
Barrack Heights,98
Barrack Point,99
Barrengarry,100
Barry,101
Basin View,102
Bass Hill,103
Bateau Bay,104
Batehaven,105
Batemans Bay,106
Bathurst,107
Batlow,108
Baulkham Hills,109
Bawley Point,110
Bayview,111
Beacon Hill,112
Beaconsfield,113
Beaumont Hills,114
Beckom,115
Beechwood,116
Beecroft,117
Beecroft Peninsula,118
Beelbangera,119
Bega,120
Belbora,121
Belfield,122
Belford,123
Belimbla Park,124
Bell,125
Bella Vista,126
Bellambi,127
Bellata,128
Bellawongarah,129
Bellbird,130
Bellbird Heights,131
Bellbrook,132
Bellevue Hill,133
Bellingen,134
Belmont,135
Belmont North,136
Belmont South,137
Belmore,138
Belrose,139
Bemboka,140
Ben Bullen,141
Benandarah,142
Bendalong,143
Bendemeer,144
Bendick Murrell,145
Benerembah,146
Bennetts Green,147
Bensville,148
Berala,149
Berambing,150
Beresfield,151
Bergalia,152
Berkeley,153
