mode,date,tap,loc,count
train,20170101,off,Adamstown Station,48
train,20170101,off,Albion Park Station,130
train,20170101,off,Allawah Station,1375
train,20170101,off,Arncliffe Station,1350
train,20170101,off,Artarmon Station,2923
train,20170101,off,Ashfield Station,7913
train,20170101,off,Asquith Station,305
train,20170101,off,Auburn Station,9568
train,20170101,off,Austinmer Station,84
train,20170101,off,Banksia Station,819
train,20170101,off,Bankstown Station,4733
train,20170101,off,Bardwell Park Station,448
train,20170101,off,Bathurst Station,59
train,20170101,off,Beecroft Station,791
train,20170101,off,Bellambi Station,59
train,20170101,off,Belmore Station,1545
train,20170101,off,Berala Station,1079
train,20170101,off,Beresfield Station,79
train,20170101,off,Berowra Station,420
train,20170101,off,Berry Station,91
train,20170101,off,Beverly Hills Station,1037
train,20170101,off,Bexley North Station,513
train,20170101,off,Birrong Station,364
train,20170101,off,Blackheath Station,230
train,20170101,off,Blacktown Station,9048
train,20170101,off,Blaxland Station,214
train,20170101,off,Bomaderry Station,264
train,20170101,off,Bombo Station,39
train,20170101,off,Bondi Junction Station,21446
train,20170101,off,Bowral Station,123
train,20170101,off,Broadmeadow Station,626
train,20170101,off,Bullaburra Station,42
train,20170101,off,Bulli Station,125
train,20170101,off,Burwood Station,9619
train,20170101,off,Cabramatta Station,5362
train,20170101,off,Campbelltown Station,2482
train,20170101,off,Campsie Station,5653
train,20170101,off,Canley Vale Station,1363
train,20170101,off,Canterbury Station,1422
train,20170101,off,Cardiff Station,448
train,20170101,off,Caringbah Station,1163
train,20170101,off,Carlingford Station,132
train,20170101,off,Carlton Station,1306
train,20170101,off,Carramar Station,276
train,20170101,off,Casula Station,156
train,20170101,off,Central Station,55691
train,20170101,off,Chatswood Station,13929
train,20170101,off,Cheltenham Station,341
train,20170101,off,Chester Hill Station,488
train,20170101,off,Circular Quay Station,37781
train,20170101,off,Clyde Station,394
train,20170101,off,Como Station,301
train,20170101,off,Concord West Station,666
train,20170101,off,Coniston Station,102
train,20170101,off,Corrimal Station,78
train,20170101,off,Cowan Station,42
train,20170101,off,Cronulla Station,2644
train,20170101,off,Croydon Station,885
train,20170101,off,Dapto Station,331
train,20170101,off,Denistone Station,173
train,20170101,off,Domestic Station,6940
train,20170101,off,Doonside Station,760
train,20170101,off,Dulwich Hill Station,1583
train,20170101,off,Dundas Station,79
train,20170101,off,East Hills Station,272
train,20170101,off,East Richmond Station,61
train,20170101,off,Eastwood Station,4319
train,20170101,off,Edgecliff Station,3836
train,20170101,off,Edmondson Park Station,229
train,20170101,off,Emu Plains Station,289
train,20170101,off,Engadine Station,467
train,20170101,off,Epping Station,5277
train,20170101,off,Erskineville Station,1618
train,20170101,off,Fairfield Station,3301
train,20170101,off,Fairy Meadow Station,137
train,20170101,off,Fassifern Station,200
train,20170101,off,Faulconbridge Station,53
train,20170101,off,Flemington Station,2760
train,20170101,off,Glenbrook Station,165
train,20170101,off,Glenfield Station,2147
train,20170101,off,Gordon Station,2774
train,20170101,off,Gosford Station,2103
train,20170101,off,Goulburn Station,42
train,20170101,off,Granville Station,4439
train,20170101,off,Green Square Station,4053
train,20170101,off,Guildford Station,1411
train,20170101,off,Gymea Station,908
train,20170101,off,Hamilton Station,1175
train,20170101,off,Harris Park Station,2248
train,20170101,off,Hawkesbury River Station,178
train,20170101,off,Hazelbrook Station,125
train,20170101,off,Heathcote Station,204
train,20170101,off,Helensburgh Station,573
train,20170101,off,Holsworthy Station,1267
train,20170101,off,Homebush Station,1957
train,20170101,off,Hornsby Station,5231
train,20170101,off,Hurlstone Park Station,645
train,20170101,off,Hurstville Station,11222
train,20170101,off,Ingleburn Station,1199
train,20170101,off,International Station,5285
train,20170101,off,Jannali Station,898
train,20170101,off,Katoomba Station,2161
train,20170101,off,Kiama Station,778
train,20170101,off,Killara Station,1090
train,20170101,off,Kings Cross Station,11036
train,20170101,off,Kingsgrove Station,1223
train,20170101,off,Kingswood Station,508
train,20170101,off,Kirrawee Station,569
train,20170101,off,Kogarah Station,6037
train,20170101,off,Lakemba Station,2847
train,20170101,off,Lapstone Station,62
train,20170101,off,Lawson Station,78
train,20170101,off,Leightonfield Station,47
train,20170101,off,Leppington Station,373
train,20170101,off,Leumeah Station,948
train,20170101,off,Leura Station,261
train,20170101,off,Lewisham Station,1129
train,20170101,off,Lidcombe Station,7954
train,20170101,off,Lindfield Station,1404
train,20170101,off,Lisarow Station,68
train,20170101,off,Lithgow Station,196
train,20170101,off,Liverpool Station,3269
train,20170101,off,Loftus Station,117
train,20170101,off,Macarthur Station,835
train,20170101,off,Macdonaldtown Station,827
train,20170101,off,Macquarie Fields Station,453
train,20170101,off,Macquarie Park Station,914
train,20170101,off,Macquarie University Station,4688
train,20170101,off,Maitland Station,99
train,20170101,off,Marayong Station,244
train,20170101,off,Marrickville Station,2176
train,20170101,off,Martin Place Station,7088
train,20170101,off,Mascot Station,7951
train,20170101,off,Meadowbank Station,1748
train,20170101,off,Medlow Bath Station,62
train,20170101,off,Merrylands Station,3204
train,20170101,off,Milsons Point Station,5329
train,20170101,off,Minnamurra Station,61
train,20170101,off,Minto Station,1305
train,20170101,off,Miranda Station,1479
