YEAR,STATION,Entries 24 hours,Exits 24 hours
2019,Adamstown Station,160,110
2019,Albion Park Station,330,270
2019,Allawah Station,3440,3010
2019,Arncliffe Station,3040,2720
2019,Artarmon Station,6140,5730
2019,Ashfield Station,14020,13730
2019,Asquith Station,1910,1650
2019,Auburn Station,15930,15490
2019,Austinmer Station,180,130
2019,Banksia Station,1950,1790
2019,Bankstown Station,10610,11020
2019,Bardwell Park Station,1350,1270
2019,Bargo Station,80,70
2019,Bathurst Station,70,40
2019,Beecroft Station,2480,2340
2019,Bella Vista Station,2230,2090
2019,Bellambi Station,160,110
2019,Belmore Station,3090,2820
2019,Berala Station,2330,2280
2019,Beresfield Station,200,180
2019,Berowra Station,1730,1580
2019,Berry Station,80,80
2019,Beverly Hills Station,2470,2270
2019,Bexley North Station,1360,1260
2019,Birrong Station,1330,1230
2019,Blackheath Station,120,90
2019,Blacktown Station,18260,19020
2019,Blaxland Station,770,700
2019,Bomaderry Station,370,310
2019,Bondi Junction Station,28900,28070
2019,Bowral Station,290,240
2019,Broadmeadow Station,920,820
2019,Bullaburra Station,80,80
2019,Bulli Station,240,200
2019,Burwood Station,20200,21050
2019,Cabramatta Station,9370,9110
2019,Camellia Station,160,170
2019,Campbelltown Station,6660,6540
2019,Campsie Station,9460,9450
2019,Canley Vale Station,3040,2820
2019,Canterbury Station,3460,3140
2019,Cardiff Station,820,770
2019,Caringbah Station,3470,3270
2019,Carlingford Station,530,430
2019,Carlton Station,3460,3210
2019,Carramar Station,610,520
2019,Castle Hill Station,4150,4520
2019,Casula Station,490,370
2019,Central Station,111630,111960
2019,Chatswood Station,31920,33420
2019,Cheltenham Station,1400,1150
2019,Cherrybrook Station,3200,3030
2019,Chester Hill Station,1360,1220
2019,Circular Quay Station,27330,26520
2019,Clarendon Station,110,100
2019,Clyde Station,1690,1630
2019,Cockle Creek Station,60,50
2019,Coledale Station,50,50
2019,Como Station,890,770
2019,Concord West Station,2660,2500
2019,Coniston Station,330,280
2019,Corrimal Station,160,150
2019,Cowan Station,80,70
2019,Cronulla Station,2870,2700
2019,Croydon Station,2860,2620
2019,Dapto Station,660,600
2019,Denistone Station,710,620
2019,Domestic Station,8710,8300
2019,Doonside Station,3340,3060
2019,Dora Creek Station,70,50
2019,Douglas Park Station,40,40
2019,Dulwich Hill Station,3070,2710
2019,Dundas Station,210,170
2019,East Hills Station,1040,960
2019,East Maitland Station,40,40
2019,East Richmond Station,240,340
2019,Eastwood Station,8710,8600
2019,Edgecliff Station,10400,9850
2019,Edmondson Park Station,2440,2310
2019,Emu Plains Station,1670,1550
2019,Engadine Station,1510,1440
2019,Epping Station,14380,14390
2019,Erskineville Station,3090,2620
2019,Fairfield Station,8040,7780
