suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC10002,Abbotsbury,1,2076,2177,4253,3502,2171,575,282,95,32,497,363,715,2401,2297,104
SSC10003,Abbotsford,2,2542,2838,5380,4538,2006,885,513,398,124,1011,444,613,2756,2660,96
SSC10004,Abercrombie,3,535,579,1114,829,2006,0,45,30,15,139,77,235,594,573,21
SSC10006,Aberdare,4,1205,1262,2467,1942,998,0,208,7,8,70,119,525,1081,943,138
SSC10007,Aberdeen,5,1048,1036,2084,1631,1328,0,216,9,10,59,72,449,972,906,66
SSC10009,Aberglasslyn,6,2624,2781,5405,3961,1897,0,246,68,51,352,389,1261,2868,2695,173
SSC10010,Abermain,7,1162,1177,2339,1868,1185,350,187,7,11,89,103,530,1055,962,93
SSC10011,Abernethy,8,184,168,352,261,1575,0,74,0,0,8,20,85,130,121,9
SSC10013,Acacia Creek,9,17,22,39,33,762,0,0,0,0,0,6,3,21,16,5
SSC10014,Acacia Gardens,10,1898,1899,3797,2899,2378,523,174,230,53,650,299,503,2182,2074,108
SSC10015,Adaminaby,11,159,142,301,262,783,0,32,3,0,14,25,69,142,136,6
SSC10016,Adamstown,12,2918,3130,6048,4924,1404,450,314,220,102,845,466,1091,3325,3107,218
SSC10017,Adamstown Heights,13,2656,2642,5298,4193,1770,0,252,243,106,880,451,876,2660,2521,139
SSC10018,Adelong,14,475,467,942,764,1018,0,89,5,3,38,51,211,406,376,30
SSC10021,Agnes Banks,15,472,440,912,693,1910,0,61,15,6,57,54,189,480,463,17
SSC10022,Airds,16,1333,1591,2924,2140,677,0,368,8,0,28,96,319,706,525,181
SSC10025,Albion Park,17,6426,6893,13319,10363,1678,490,881,160,118,802,922,3095,6733,6347,386
SSC10026,Albion Park Rail,18,3372,3540,6912,5632,1198,440,743,47,39,293,415,1633,3134,2906,228
SSC10027,Albury,19,2335,2470,4805,4052,1372,350,545,226,128,767,406,703,2425,2288,137
SSC10028,Aldavilla,20,840,392,1232,1135,1125,0,594,3,0,44,39,190,327,311,16
SSC10029,Alectown,21,84,82,166,146,1312,0,15,0,0,14,19,20,85,82,3
SSC10030,Alexandria,22,4214,4054,8268,7389,2421,800,749,966,267,2492,707,727,5874,5670,204
SSC10031,Alfords Point,23,1524,1585,3109,2587,2622,750,189,118,56,451,290,524,1862,1792,70
SSC10034,Alison,24,44,45,89,80,2083,0,18,0,0,3,0,19,42,39,3
SSC10036,Allambie Heights,25,3404,3605,7009,5445,2229,940,495,322,137,1098,612,992,3496,3385,111
SSC10038,Allawah,26,2857,2852,5709,4850,1494,605,429,478,62,1095,535,534,3183,2936,247
SSC10041,Allworth,27,94,71,165,128,1050,0,21,0,0,5,5,44,72,67,5
SSC10044,Alpine,28,64,70,134,104,2200,0,13,7,3,23,12,17,66,66,0
SSC10046,Alstonville,29,2613,3122,5735,4762,1069,0,474,141,110,678,489,1036,2357,2217,140
SSC10049,Ambarvale,30,3598,3782,7380,5656,1287,0,682,82,39,374,433,1292,3238,2925,313
SSC10058,Anglers Reach,31,46,45,91,86,959,0,33,3,0,8,4,19,23,23,0
SSC10059,Angourie,32,102,118,220,191,1347,0,28,12,4,49,21,29,108,103,5
SSC10060,Anna Bay,33,1857,1983,3840,3249,1065,450,481,28,38,221,272,877,1643,1525,118
SSC10061,Annandale,34,4543,4911,9454,7888,2337,810,792,1155,293,2465,652,726,5603,5363,240
SSC10062,Annangrove,35,724,669,1393,1152,2484,0,85,43,15,158,122,287,793,779,14
SSC10063,Appin,36,1345,1285,2630,1961,2104,430,150,31,28,183,184,615,1403,1355,48
SSC10064,Apple Tree Flat,37,19,24,43,32,1374,0,11,0,0,4,0,10,13,13,0
SSC10069,Arakoon,38,220,197,417,384,1075,0,35,9,3,45,61,109,186,172,14
SSC10072,Arcadia,39,698,685,1383,1113,2433,0,78,62,29,185,129,239,753,728,25
SSC10073,Arcadia Vale,40,700,679,1379,1114,1366,0,90,26,11,89,109,352,661,613,48
SSC10076,Ardlethan,41,261,254,515,456,769,0,83,0,0,26,24,87,178,163,15
SSC10078,Argenton,42,679,671,1350,1113,1002,0,126,5,3,52,60,269,563,495,68
SSC10081,Ariah Park,43,248,242,490,385,907,0,45,0,4,37,28,87,191,187,4
SSC10084,Armatree,44,76,77,153,110,1228,0,20,0,0,12,10,22,75,67,8
SSC10085,Armidale,45,11142,12209,23351,19220,1201,340,2223,1607,517,2830,1391,3314,10512,9636,876
SSC10086,Arncliffe,46,5307,5283,10590,8903,1657,625,1106,656,125,1730,770,1054,5346,5011,335
SSC10087,Arndell Park,47,28,6,34,27,0,0,14,0,0,0,0,10,19,19,0
SSC10088,Arrawarra,48,253,268,521,491,682,0,105,3,3,32,34,118,100,91,9
SSC10089,Arrawarra Headland,49,279,276,555,460,1222,0,45,17,16,81,33,90,253,234,19
SSC10090,Artarmon,50,4654,4876,9530,7694,2183,983,662,1220,256,2518,694,546,5335,5058,277
SSC10093,Ashbury,51,1654,1675,3329,2667,2157,680,210,209,79,510,251,431,1706,1646,60
SSC10097,Ashcroft,52,1753,1827,3580,2687,887,380,570,19,10,109,119,366,1034,893,141
SSC10098,Ashfield,53,11773,12067,23840,20897,1632,600,2462,2399,474,5363,1901,1891,13151,12225,926
SSC10100,Ashley,54,191,176,367,257,1557,0,37,7,3,12,15,65,179,176,3
SSC10101,Ashmont,55,1810,2021,3831,2951,876,0,390,21,18,118,138,691,1485,1295,190
SSC10102,Ashtonfield,56,2288,2363,4651,3520,1844,0,264,125,70,434,384,903,2402,2275,127
SSC10103,Asquith,57,1621,1759,3380,2661,2029,580,180,242,67,601,329,448,1761,1675,86
SSC10106,Auburn,58,20570,16799,37369,30119,1240,470,4939,1751,229,4296,2259,2510,16113,14075,2038
SSC10108,Austinmer,59,1241,1317,2558,2043,2031,730,162,239,103,540,229,308,1311,1245,66
SSC10109,Austral,60,1523,1504,3027,2523,1353,530,511,31,5,150,143,484,1264,1207,57
SSC10111,Avalon Beach,61,4830,5078,9908,7937,2137,0,630,485,216,1690,1021,1393,5159,4977,182
SSC10114,Avoca Beach,62,2284,2303,4587,3578,1896,600,274,165,92,684,454,764,2373,2256,117
SSC10116,Avondale,63,809,844,1653,1353,1278,450,158,22,21,84,108,398,798,737,61
SSC10117,Avonside,64,56,59,115,83,2049,0,12,0,0,14,22,30,56,53,3
SSC10118,Awaba,65,202,197,399,311,1597,0,27,8,0,29,25,74,191,179,12
SSC10120,Baan Baa,66,91,70,161,132,1218,0,18,0,0,3,9,25,81,75,6
SSC10132,Badgerys Creek,67,111,109,220,173,1278,0,12,0,3,7,4,27,85,81,4
SSC10143,Balaclava,68,233,264,497,402,1213,0,65,19,3,31,33,115,236,232,4
SSC10145,Balcolyn,69,470,494,964,776,1153,0,67,21,11,91,84,206,409,384,25
SSC10153,Balgowlah,70,3827,4133,7960,6254,2261,1015,591,582,207,1797,717,781,4290,4152,138
SSC10154,Balgowlah Heights,71,1625,1720,3345,2438,3726,0,171,311,92,797,236,182,1592,1532,60
SSC10155,Balgownie,72,2658,2867,5525,4528,1558,500,393,235,114,679,472,980,2584,2474,110
SSC10162,Ballina,73,3956,4698,8654,7640,819,500,1378,121,78,615,593,1606,3079,2854,225
SSC10164,Balmain,74,5019,5433,10452,8660,2550,865,1026,1317,351,2628,784,716,5858,5634,224
SSC10165,Balmain East,75,952,986,1938,1619,2485,0,189,263,54,516,142,124,1041,994,47
SSC10173,Bangalee,76,323,330,653,564,1916,0,51,18,17,77,66,141,343,331,12
SSC10174,Bangalow,77,960,1057,2017,1587,1401,675,197,83,37,327,186,251,1007,976,31
SSC10177,Bangor,78,2764,2804,5568,4555,2289,0,299,206,106,749,508,1063,3061,2957,104
SSC10178,Banksia,79,1674,1709,3383,2795,1685,600,327,149,38,451,246,400,1711,1608,103
SSC10179,Banksmeadow,80,10,6,16,15,0,0,3,0,0,3,0,4,15,15,0
SSC10180,Bankstown,81,15831,16283,32114,25047,1120,500,3747,1200,198,3618,2122,2870,12884,11490,1394
SSC10185,Banora Point,82,7542,8628,16170,13725,1080,570,1467,189,166,1113,1216,3231,6687,6266,421
SSC10187,Bar Beach,83,676,576,1252,1095,1719,0,137,92,24,294,86,136,688,653,35
SSC10190,Baradine,84,385,374,759,629,771,0,72,6,3,31,29,132,262,236,26
SSC10191,Barangaroo,85,104,80,184,170,3661,0,75,20,3,37,5,11,78,78,0
SSC10193,Barden Ridge,86,2135,2196,4331,3489,2772,0,201,129,64,528,411,806,2609,2520,89
SSC10194,Bardia,87,807,795,1602,1157,2187,0,96,119,17,276,107,184,878,820,58
SSC10195,Bardwell Park,88,1100,1135,2235,1828,1992,720,139,114,39,338,236,285,1192,1140,52
